fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
9	joker3	faceTo	joker1			
10	joker2	faceTo	joker1			
11	joker3	say		do_humans		
14	joker1	say		alright_humans		
17	joker1	animation		curtsey		
17.1	joker1	say		i_am_human		
20	joker1	animation		scared		
20.1	joker2	animation		laugh		
20.2	joker3	animation		laugh_pointing		
20.5	joker3	say		i_love_that		
60	joker2	say		do_wookiee		
64	joker1	animation		hold_nose		
64.1	joker1	say		wookiee_smell		
65	joker2	animation		belly_laugh		
65.1	joker3	animation		rofl
120	joker1	animation		mock
120.1	joker1	say		offworlders
121	joker2	animation		laugh_cackle
121.1	joker3	animation		laugh_cackle
124	joker1	animation		smackbottom
125	joker2	animation		laugh_cackle
125.1	joker3	animation		laugh
128	joker1	animation		loser
129	joker2	animation		rofl
129.1	joker3	animation		rofl
130	joker1	animation		rofl
145	joker2	say		do_rodian
145.1	joker2	animation		point_forward
145.5	joker3	animation		nod_head_multiple
150	joker1	say		okay_rodian
150.1	joker1	animation		rub_chin_thoughtful
152	joker1	animation		chicken
152.1	joker1	say		i_am_rodian
152.2	joker3	animation		belly_laugh
153	joker2	animation		wft
155	joker2	say		i_dont_get_it
159	joker1	animation		smack_self
159.1	joker1	say		rodian_yellow
163	joker2	animation		laugh_titter
163.1	joker2	say		no_i_get_it
300		goto		0
