fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
5	patrol2	moveTo	patrol_rt3	walk		
9	patrol1	moveTo	patrol_rt6	walk		
20	patrol2	moveTo	patrol_rt4	walk		
35	patrol2	moveTo	patrol_rt5	walk		
45	patrol1	faceTo	patrol_mt2			
46	patrol1	animation		tap_foot		
63	patrol1	moveTo	patrol_mt1	walk		
63.1	patrol2	moveTo	patrol_mt2	walk		
83	patrol1	faceTo	patrol_mt2			
83.1	patrol2	faceTo	patrol_mt1			
83.5	patrol1	say		hi		
83.6	patrol1	animation		wave1		
84	patrol2	animation		greet		
89	patrol2	say		hows_work		
94	patrol1	animation		shrug_hands
94.1	patrol1	say		same
99	patrol2	say		obi_wan
99.1	patrol2	animation		nervous
105	patrol1	animation		stop
105.1	patrol1	say		not_again
110	patrol2	animation		explain
110.1	patrol2	say		no_really
111	patrol1	animation		yawn
115	patrol1	animation		cuckoo
115.1	patrol1	say		you_are_crazy
120	patrol1	moveTo	patrol_rt6	walk
122	patrol2	animation		sigh_deeply
125	patrol2	moveTo	patrol_rt5	walk
145	patrol1	moveTo	patrol_rt1	walk
150	patrol2	moveTo	patrol_rt4	walk
170	patrol2	moveTo	patrol_rt3	walk
185	patrol2	moveTo	patrol_rt2	walk
195	patrol1	faceTo	patrol_rt6	
200	patrol1	animation		tap_foot
210	patrol2	faceTo	patrol_rt3	
210.1	patrol1	animation		tap_foot
215	patrol2	animation		check_wrist_device
220		goto		0
