fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
9	female_traveler	faceTo	male_traveler			
10	female_traveler	animation		point_accusingly		
10.1	female_traveler	say		cant_believe		
20	male_traveler	say		do_not_start		
20.1	male_traveler	animation		standing_placate		
30	female_traveler	animation		wave_finger_warning		
30.1	female_traveler	say		want_to_leave		
40	male_traveler	animation		sigh_deeply		
40.1	male_traveler	say		of_course_dear		
50	female_traveler	animation		wave_finger_warning		
50.1	female_traveler	say		we_better		
53	female_traveler	faceTo	traveler_object			
59	female_traveler	setAnimationMood		angry		
60	male_traveler	say		yes_dear		
60.1	male_traveler	animation		sigh_deeply
70	male_traveler	setAnimationMood		sorry
100	male_traveler	animation		implore
200	male_traveler	animation		implore
300	male_traveler	animation		implore
400	male_traveler	animation		implore
500	male_traveler	animation		implore
600		goto		0
