fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
1	npe_station_guard1	moveto	hal_guard2	walk		
7	npe_station_guard1	moveto	hal_guard3	walk		
11	npe_station_guard1	moveto	hal_guard4	walk		
15	npe_station_guard1	moveto	hal_guard5	walk		
20	npe_station_guard1	say		hangar_01		"""All Clear here"""
28	npe_station_guard1	moveto	hal_guard6	walk		
32	npe_station_guard1	moveto	hal_guard7	walk		
36	npe_station_guard1	moveto	hal_guard8	walk		
40	npe_station_guard1	moveto	hal_guard9	walk		
44	npe_station_guard1	moveto	hal_guard10	walk		
48	npe_station_guard1	moveto	hal_guard11	walk		
52	npe_station_guard1	moveto	hal_guard12	walk		
55	npe_station_guard1	say		inaldra_01		flirts with secretary
63	npe_station_guard1	moveto	hal_guard11	walk		
66	npe_station_guard1	moveto	hal_guard10	walk		
71	npe_station_guard1	moveto	hal_guard13	walk		
75	npe_station_guard1	moveto	hal_guard14	walk		
79	npe_station_guard1	moveto	hal_guard15	walk		
84	npe_station_guard1	say		armory_01		"""They can take care of themselves"""
90	npe_station_guard1	moveto	hal_guard16	walk		
94	npe_station_guard1	moveto	hal_guard17	walk		
100	npe_station_guard1	faceto	hal_guard18			
101	npe_station_guard1	say		medbay_01		"""I've seen all I want to see of that place"""
109	npe_station_guard1	moveto	hal_guard19	walk		
113	npe_station_guard1	moveto	hal_guard20	walk		
117	npe_station_guard1	faceto	hal_guard21			
118	npe_station_guard1	say		training_01		"""Everything under control?"""
121	npe_station_guard1	animation		nod		
126	npe_station_guard1	moveto	hal_guard22	walk		
130	npe_station_guard1	moveto	hal_guard23	walk		
134	npe_station_guard1	moveto	hal_guard24	walk		
138	npe_station_guard1	faceto	hal_guard25			
139	npe_station_guard1	say		clone_01		"""Not of fan of that place either"""
147	npe_station_guard1	moveto	hal_guard26	walk		
150	npe_station_guard1	moveto	hal_guard27	walk		
153	npe_station_guard1	moveto	hal_guard28	walk		
156	npe_station_guard1	moveto	hal_guard29	walk		
160	npe_station_guard1	moveto	hal_guard30	walk		
164	npe_station_guard1	moveto	hal_guard31	walk		
169	npe_station_guard1	say		hangar_02		"""what a hunk of junk"""
177	npe_station_guard1	moveto	hal_guard30	walk		
181	npe_station_guard1	moveto	hal_guard32	walk		
185	npe_station_guard1	moveto	hal_guard1	walk		
189	npe_station_guard1	goto		0		
