fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
3	doctor	faceto	sick1			
5	doctor	posture		kneel		
10	doctor	animation		heal_other		
13	doctor	posture		stand		
18	doctor	moveto	npe_medbay2	walk		
20	doctor	faceto	sick2			
22	doctor	posture		kneel		
28	doctor	animation		heal_other		
30	doctor	posture		stand		
35	doctor	moveto	npe_medbay3	walk		
39	doctor	faceto	sick3			
42	doctor	posture		kneel		
48	doctor	animation		heal_other		
51	doctor	posture		stand		
56	doctor	moveto	npe_medbay4	walk
59	doctor	faceto	sick4	
62	doctor	posture		kneel
68	doctor	animation		heal_other
71	doctor	posture		stand
76	doctor	moveto	npe_medbay5	walk
83	doctor	faceto	sick5	
86	doctor	posture		kneel
92	doctor	animation		heal_other
95	doctor	posture		stand
100	doctor	moveto	npe_medbay6	walk
103	doctor	faceto	sick6	
106	doctor	posture		kneel
112	doctor	animation		heal_other
115	doctor	posture		stand
120	doctor	moveto	npe_medbay7	walk
124	doctor	faceto	sick7	
127	doctor	posture		kneel
133	doctor	animation		heal_other
136	doctor	posture		stand
141	doctor	moveto	npe_medbay8	walk
144	doctor	faceto	sick8	
147	doctor	posture		kneel
153	doctor	animation		heal_other
156	doctor	posture		stand
161	doctor	moveto	npe_medbay1	walk
165	doctor	goto		0
