fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
5	technician1	faceTo	tech_face1			
10	technician1	animation		manipulate_medium		
15	technician1	animation		manipulate_medium		
20	technician1	animation		manipulate_medium		
25	technician1	animation		manipulate_medium		
35	technician1	animation		manipulate_medium		
38	technician1	animation		rub_chin_thoughtful		
40	technician1	moveTo	tech_goto1	walk		
49	technician1	faceTo	tech_face2			
52	technician1	animation		manipulate_medium		
55	technician1	animation		manipulate_medium		
60	technician1	animation		manipulate_medium		
65	technician1	animation		manipulate_medium		
70	technician1	animation		manipulate_medium		
75	technician1	animation		manipulate_medium
80	technician1	animation		rub_chin_thoughtful
83	technician1	moveTo	tech_goto2	walk
88		goto		0
