fltTime	strActor	strAction	strTarget	strData1	strData2	strComments
f	s	s	s	s	s	c
15	drunk	moveto	can_drunk1	walk		
18	drunk	faceto	can_counter2			
23	drunk	messageto	drunk	getGlass		
24	drunk	moveto	can_drunk3	walk		
25	drunk	setanimationmood		npc_standing_drinking		
26	drunk	faceto	friend			
30	drunk	say		too_many		I think I have had too many
32	drunk	messageto	drunk	removeGlass		
35	drunk	setanimationmood		idle		
36	drunk	animation		heavy_cough_vomit		
41	drunk	say		go_med		I better go to the med center
42	drunk	moveto	can_drunk5	walk		
47	drunk	moveto	med_drunk7	walk		
52	drunk	moveto	med_drunk11	walk		
57	drunk	moveto	med_drunk8	walk		
60	drunk	moveto	med_drunk10	walk		
65	drunk	setanimationmood		npc_dead_03		
66	drunk	messageto	drunk	npeaddconvo		Adds convo to tell player he is sleeping it off
399	drunk	messageto	drunk	nperemoveconvo		"removes convo, to prepare for journey back to cantina"
402	drunk	setanimationmood		idle		
403	drunk	say		ready		I am ready to go back.
405	drunk	moveto	med_drunk8	walk		
408	drunk	moveto	med_drunk11	walk		
412	drunk	moveto	med_drunk7	walk		
417	drunk	moveto	can_drunk5	walk		
422	drunk	moveto	can_drunk3	walk		
427	drunk	moveto	can_drunk1	walk		
429	drunk	faceto	can_counter			
435	drunk	messageto	drunk	getGlass		
436	drunk	moveto	can_drunk3	walk		
437	drunk	setanimationmood		npc_standing_drinking		
438	drunk	faceto	friend			
441	friend	say		welcome		"""welcome back"""
1041	drunk	goto		0		
