bookName	pageName	collectionName	slotName	beginSlotId	endSlotId	maxSlotValue	category1	category2	category3	category4	category5	category6	category7	category8	category9	category10	category11	prereqSlotName1	prereqSlotName2	prereqSlotName3	prereqSlotName4	prereqSlotName5	icon	music	showIfNotYetEarned	hidden	title	alternateTitle1	alternateTitle2	alternateTitle3	alternateTitle4	alternateTitle5	noReward	trackServerFirst	Comments	string_name	string_detail
s	s	s	s	i	i[-1]	i[-1]	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s[sound/music_acq_miner.snd]	"e(gray=0,unknown=1,none=2)[gray]"	b[0]	b[0]	s	s	s	s	s	b[0]	b[0]	c	c	c
badge_book																																			"Some rewards are granted upon updating a collection slot, rather than a collection. To do this you need to put the slot name under collection_name column, then add the catagory ""rewardOnUpdate"" to that slot in the collections.tab.  If you need to wait until the counter collection is complete to reward use ""rewardOnComplete"". If you do not want to give a reward and you don't want a message at all use ""noMessage"""	Badges	Book of badges earned.
	bdg_accumulation																																			Badge Collector	Page of badge Collections
		col_bdg_count_50																															1		slotId range is 0 - 31999	Novice Collector	Collection of first 50 badges.
			count_5	0																															slotId must start with 0	Badge Collector: 5 Badges	You have acquired 5 badges.
			count_10	1																															slotId must be contiguous with no holes and no dupes	Badge Collector: 10 Badges	You have acquired 10 badges.
			count_25	2																															they don't have to appear in contiguous order but the assignment of slotId	Badge Collector: 25 Badges	You have acquired 25 badges.
			count_50	3																															to new slots must be done contiguously	Badge Collector: 50 Badges	You have acquired 50 badges.
		col_bdg_count_150																															1			Minor Collector	Collection of first 150 badges.
			count_75	4																															slotId cannot be reused	Badge Collector: 75 Badges	You have acquired 75 badges.
			count_100	5																															once a slotId has been assigned it cannot be removed	Badge Collector: 100 Badges	You have acquired 100 badges.
			count_125	6																															because that would create a hole and you cannot reuse that slotId for a new slot	Badge Collector: 125 Badges	You have acquired 125 badges.
			count_150	229																																Badge Collector: 150 Badges	You have acquired 150 badges.
		col_bdg_count_250																															1		the order that things appear here is the order things will be displayed in the UI	Moderate Collector	Collection of first 250 badges.
			count_175	230																																Badge Collector: 175 Badges	You have acquired 175 badges.
			count_200	231																															the category columns can be used to arbitrarily group collection slots together	Badge Collector: 200 Badges	You have acquired 200 badges.
			count_225	232																															for easier management	Badge Collector: 225 Badges	You have acquired 225 badges.
			count_250	233																																Badge Collector: 250 Badges	You have acquired 250 badges.
		col_bdg_count_350																															1		there are interfaces to get the collection slots that belong in a category and what	Master Collector	Collection of first 350 badges.
			count_275	234																															categories a particular collection slot belongs to	Badge Collector: 275 Badges	You have acquired 275 badges.
			count_300	235																															a collection slot can be in as many categories as you want	Badge Collector: 300 Badges	You have acquired 300 badges.
			count_325	6832																															a collection slot can be in as many categories as you want	Badge Collector: 325 Badges	You have acquired 325 badges.
