spawns	name	room	loc_x	loc_y	loc_z	scriptOne	scriptTwo	scriptThree	convo_script	yaw	mood	respawn_time	spawn_objvar	spawn_objvar_value	spawn_objvar2	spawn_objvar_value2	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	building_id
s	s	s	f	f	f	s	s	s	s	f	s	i	s	s	s	s	s	s	s	s	s	i(0)
crackdown_rebel_command_security_guard		world	-5551.8	23.4	-6119.3	theme_park.script_spawner.spawner_methods.ss_setup				175		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_command_security_guard		world	-5264	4	-6425.9	theme_park.script_spawner.spawner_methods.ss_setup				-85		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_command_security_guard		world	-5320	4	-6423.2	theme_park.script_spawner.spawner_methods.ss_setup				89		180	spawn_objvar	city_wander	spawn_objvar2	customs						
crackdown_rebel_soldier		world	-5320	24.4	-6237.8	theme_park.script_spawner.spawner_methods.ss_setup				94		180	spawn_objvar	static								
crackdown_rebel_guard_captain		world	-5411.4	25	-6219.3	theme_park.script_spawner.spawner_methods.ss_setup				5		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	-5429.8	24	-6218.9	theme_park.script_spawner.spawner_methods.ss_setup				0		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-5443.6	24	-6243	theme_park.script_spawner.spawner_methods.ss_setup				-78		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	-5534.1	23.4	-6217.9	theme_park.script_spawner.spawner_methods.ss_setup				138		180	spawn_objvar	static								
crackdown_rebel_liberator		world	-5549.5	23.4	-6202.1	theme_park.script_spawner.spawner_methods.ss_setup				-50		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	-5538.4	16.5	-6054.7	theme_park.script_spawner.spawner_methods.ss_setup				-178		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-5664	14.6	-6179.3	theme_park.script_spawner.spawner_methods.ss_setup				94		180	spawn_objvar	static								
crackdown_rebel_guardsman		world	-5664	14.8	-6185.3	theme_park.script_spawner.spawner_methods.ss_setup				94		180	spawn_objvar	static								
crackdown_rebel_liberator		world	-5716.1	14.6	-6147.5	theme_park.script_spawner.spawner_methods.ss_setup				-89		180	spawn_objvar	static								
crackdown_rebel_soldier		world	-5716.1	14.6	-6153.1	theme_park.script_spawner.spawner_methods.ss_setup				-91		180	spawn_objvar	static								
