fileName	sceneId	fileSize
s	s	i
abstract/slot/arrangement/arrangement_bank.iff	tutorial	37
abstract/slot/arrangement/arrangement_datapad.iff	tutorial	40
abstract/slot/arrangement/arrangement_default_weapon.iff	tutorial	47
abstract/slot/arrangement/arrangement_ingredient_hopper.iff	dungeon1:npe_shared_station	50
abstract/slot/arrangement/arrangement_manf_schematic.iff	dungeon1:npe_shared_station	75
abstract/slot/arrangement/arrangement_mission_bag.iff	tutorial	44
abstract/slot/arrangement/arrangement_player_object.iff	tutorial	38
abstract/slot/arrangement/arrangement_ship.iff	tutorial	52
abstract/slot/arrangement/arrangement_structure.iff	dungeon1:npe_shared_station	57
abstract/slot/arrangement/arrangement_waypoint.iff	dungeon1:npe_shared_station	47
abstract/slot/arrangement/droid.iff	tutorial	43
abstract/slot/arrangement/inventory_arrangement.iff	tutorial	42
abstract/slot/arrangement/player.iff	tutorial	605
abstract/slot/arrangement/wearables/back.iff	tutorial	37
abstract/slot/arrangement/wearables/bandolier.iff	dungeon1:npe_shared_station	37
abstract/slot/arrangement/wearables/belt.iff	tutorial	45
abstract/slot/arrangement/wearables/bicep_l.iff	dungeon1:npe_shared_station	40
abstract/slot/arrangement/wearables/bicep_r.iff	dungeon1:npe_shared_station	40
abstract/slot/arrangement/wearables/bracer_l.iff	dungeon1:npe_shared_station	62
abstract/slot/arrangement/wearables/bracer_r.iff	dungeon1:npe_shared_station	62
abstract/slot/arrangement/wearables/bracer_upper_l.iff	tutorial	47
abstract/slot/arrangement/wearables/bracer_upper_r.iff	tutorial	47
abstract/slot/arrangement/wearables/cloak.iff	dungeon1:npe_shared_station	115
abstract/slot/arrangement/wearables/cloak_hooded.iff	tutorial	119
abstract/slot/arrangement/wearables/cybernetic_arm_l.iff	dungeon1:npe_dungeon	79
abstract/slot/arrangement/wearables/cybernetic_arm_r.iff	dungeon1:npe_dungeon	79
abstract/slot/arrangement/wearables/cybernetic_leg.iff	dungeon1:npe_dungeon	52
abstract/slot/arrangement/wearables/dress.iff	dungeon1:npe_shared_station	60
abstract/slot/arrangement/wearables/dress_formal.iff	dungeon1:npe_shared_station	150
abstract/slot/arrangement/wearables/dress_formal_gloved.iff	tutorial	192
abstract/slot/arrangement/wearables/dress_formal_hooded.iff	dungeon1:npe_shared_station	183
abstract/slot/arrangement/wearables/dress_poofysleeve_allow_gauntlets.iff	dungeon1:npe_shared_station	120
abstract/slot/arrangement/wearables/dress_poofysleeve_full.iff	tutorial	136
abstract/slot/arrangement/wearables/dress_poofysleeve_upper.iff	tutorial	76
abstract/slot/arrangement/wearables/eyes.iff	dungeon1:npe_dungeon	37
abstract/slot/arrangement/wearables/gauntlets.iff	dungeon1:npe_shared_station	39
abstract/slot/arrangement/wearables/gauntlets_long.iff	tutorial	69
abstract/slot/arrangement/wearables/gloves.iff	tutorial	39
abstract/slot/arrangement/wearables/gloves_long.iff	dungeon1:npe_shared_station	69
abstract/slot/arrangement/wearables/hair.iff	tutorial	37
abstract/slot/arrangement/wearables/hat.iff	dungeon1:npe_shared_station	36
abstract/slot/arrangement/wearables/helmet_closed_eyes.iff	dungeon1:npe_dungeon	41
abstract/slot/arrangement/wearables/helmet_closed_full.iff	space_npe_falcon	47
abstract/slot/arrangement/wearables/hold_both.iff	tutorial	46
abstract/slot/arrangement/wearables/hold_l.iff	dungeon1:npe_shared_station	39
abstract/slot/arrangement/wearables/hold_r.iff	tutorial	39
abstract/slot/arrangement/wearables/jacket_halfsleeve.iff	tutorial	85
abstract/slot/arrangement/wearables/jacket_longsleeve.iff	tutorial	115
abstract/slot/arrangement/wearables/jacket_shortsleeve.iff	tutorial	55
abstract/slot/arrangement/wearables/jedi_jumpsuit.iff	dungeon1:npe_shared_station	171
abstract/slot/arrangement/wearables/jedi_jumpsuit_02.iff	dungeon1:npe_shared_station	175
abstract/slot/arrangement/wearables/jedi_robe.iff	dungeon1:npe_shared_station	165
abstract/slot/arrangement/wearables/jumpsuit_longsleeve.iff	dungeon1:npe_shared_station	99
