SMALL	MEDIUM	LARGE
s	s	s
object/static/poi/scene/camp_jawa_sm.iff	object/static/poi/scene/camp_jawa_med.iff	object/static/poi/scene/camp_jawa_lrg.iff
object/static/structure/tatooine/debris_tatt_crate_1.iff	object/static/structure/tatooine/pillar_damaged_large_style_01.iff	object/static/structure/tatooine/tent_house_tatooine_style_01.iff
object/static/structure/tatooine/debris_tatt_drum_dented_1.iff	object/static/structure/tatooine/pillar_ruined_large_style_01.iff	object/static/structure/tatooine/antenna_tatt_style_1.iff
object/static/structure/tatooine/debris_tatt_drum_storage_1.iff	object/static/structure/tatooine/pillar_ruined_small_style_01.iff	object/static/structure/tatooine/antenna_tatt_style_2.iff
object/static/structure/tatooine/debris_tatt_drum_storage_2.iff		
object/static/structure/tatooine/debris_tatt_pipe_dual_unconnected.iff		
object/static/structure/tatooine/debris_tatt_pipe_narrow_1.iff		
object/static/structure/tatooine/debris_tatt_pipe_narrow_2.iff		
object/static/structure/tatooine/palette_tatooine_style_01.iff		
object/static/structure/tatooine/debris_tatt_pipe_widemouth.iff		
