questZone	escortPath	targetShipType	targetArrivalDelay	targetEscort	targetAttackMode	mustDestroyEscort	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	s	"e(returnfire=0,attackfreely=1,holdfire=2)[returnfire]"	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dantooine	space_dantooine:tatooine_imperial_tier4_assassinate3_1	rebel_command_vessel_tier4	30	reb_xwing_tier4	returnfire	1	none	triggerOn			-1	0	0		pilot_profession
	space_dantooine:tatooine_imperial_tier4_assassinate3_2			reb_xwing_tier4											
	space_dantooine:tatooine_imperial_tier4_assassinate3_3			reb_xwing_tier4											
	space_dantooine:tatooine_imperial_tier4_assassinate3_4			reb_bwing_tier3											
				reb_bwing_tier3											
				reb_bwing_tier3											
				reb_ywing_tier4											
				reb_ywing_tier4											
				reb_ywing_tier4											
				rebel_command_vessel_weak_tier2											
				rebel_command_vessel_weak_tier2											
