questZone	escortPath	targetShipType	targetArrivalDelay	targetEscort	targetAttackMode	mustDestroyEscort	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	s	"e(returnfire=0,attackfreely=1,holdfire=2)[returnfire]"	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:naboo_imperial_tier4_assassinate1_1	coynite_mothership_tier4	30	coynite_merc_neutron_tier4	returnfire	1	none	triggerOn			-1	0	0		pilot_profession
	space_dathomir:naboo_imperial_tier4_assassinate1_2			coynite_merc_neutron_tier4											
	space_dathomir:naboo_imperial_tier4_assassinate1_3			coynite_merc_pulsar_tier4											
	space_dathomir:naboo_imperial_tier4_assassinate1_4			coynite_merc_pulsar_tier4											
				coynite_merc_pulsar_tier4											
				coynite_merc_pulsar_tier4											
				coynite_merc_quasar_tier4											
				coynite_merc_quasar_tier4											
				coynite_merc_quasar_tier4											
