questZone	escortPath	targetShipType	targetArrivalDelay	targetEscort	targetAttackMode	mustDestroyEscort	triggerEvent	triggerSplitCondition	triggerArg	triggerArg2	triggerOn	autoReward	questDelay	_DESIGNER NOTES_	questSeries
s	s	s	i	s	"e(returnfire=0,attackfreely=1,holdfire=2)[returnfire]"	i	"e(none=0,splitquest=1,surpriseattack=2)[none]"	"e(triggerOn=0,success=1,failure=2,both=3)[triggerOn]"	s	s	i	i	i	s	s
space_dathomir	space_dathomir:corellia_imperial_tier4_recovery2_5	onli_shien_tier5	15	velocity_merc_heavy_fighter_tier4	attackfreely	1	none	triggerOn			-1	0	0		pilot_profession
	space_dathomir:corellia_imperial_tier4_recovery2_6			velocity_merc_heavy_fighter_tier4											
	space_dathomir:corellia_imperial_tier4_recovery2_7			velocity_merc_heavy_fighter_tier4											
				velocity_merc_light_fighter_tier4											
				velocity_merc_light_fighter_tier4											
				velocity_merc_light_fighter_tier4											
				velocity_merc_med_fighter_tier4											
				velocity_merc_med_fighter_tier4											
				velocity_merc_med_fighter_tier4											
