component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7	weapon_8	weapon_9	weapon_10	weapon_11	weapon_12	weapon_13	weapon_14	weapon_15	weapon_16	weapon_17	weapon_18	weapon_19	weapon_20	weapon_21	weapon_22	hit_range
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	f
wpn_incom_blaster													spacestation_turret_base_s02:turretyaw01	spacestation_turret_base_s02:turretyaw02	spacestation_turret_base_s02:turretyaw03	spacestation_turret_base_s02:turretyaw04	spacestation_turret_base_s02:turretyaw05	spacestation_turret_base_s02:turretyaw06	spacestation_turret_base_s02:turretyaw07	spacestation_turret_base_s02:turretyaw08	spacestation_turret_base_s02:turretyaw09	spacestation_turret_base_s02:turretyaw010	spacestation_turret_base_s02:turretyaw011	spacestation_turret_base_s02:turretyaw012	spacestation_turret_base_s02:turretyaw013	spacestation_turret_base_s02:turretyaw014	spacestation_turret_base_s02:turretyaw015	spacestation_turret_base_s02:turretyaw016	spacestation_turret_base_s02:turretyaw017	spacestation_turret_base_s02:turretyaw018	spacestation_turret_base_s02:turretyaw019	spacestation_turret_base_s02:turretyaw020	spacestation_turret_base_s02:turretyaw021	spacestation_turret_base_s02:turretyaw022	spacestation_turret_base_s02:turretyaw023	60
wpn_incom_light_blaster													spacestation_turret_base_s01:turretyaw01	spacestation_turret_base_s01:turretyaw02	spacestation_turret_base_s01:turretyaw03	spacestation_turret_base_s01:turretyaw04	spacestation_turret_base_s01:turretyaw05	spacestation_turret_base_s01:turretyaw06	spacestation_turret_base_s01:turretyaw07	spacestation_turret_base_s01:turretyaw08	spacestation_turret_base_s01:turretyaw09	spacestation_turret_base_s01:turretyaw010	spacestation_turret_base_s01:turretyaw011	spacestation_turret_base_s01:turretyaw012	spacestation_turret_base_s01:turretyaw013	spacestation_turret_base_s01:turretyaw014	spacestation_turret_base_s01:turretyaw015	spacestation_turret_base_s01:turretyaw016	spacestation_turret_base_s01:turretyaw017	spacestation_turret_base_s01:turretyaw018	spacestation_turret_base_s01:turretyaw019	spacestation_turret_base_s01:turretyaw020	spacestation_turret_base_s01:turretyaw021	spacestation_turret_base_s01:turretyaw022	spacestation_turret_base_s01:turretyaw023	60
wpn_spacestation_rebel_turret_s01													spacestation_turret_base_s01:turretyaw01	spacestation_turret_base_s01:turretyaw02	spacestation_turret_base_s01:turretyaw03	spacestation_turret_base_s01:turretyaw04	spacestation_turret_base_s01:turretyaw05	spacestation_turret_base_s01:turretyaw06	spacestation_turret_base_s01:turretyaw07	spacestation_turret_base_s01:turretyaw08	spacestation_turret_base_s01:turretyaw09	spacestation_turret_base_s01:turretyaw010	spacestation_turret_base_s01:turretyaw011	spacestation_turret_base_s01:turretyaw012	spacestation_turret_base_s01:turretyaw013	spacestation_turret_base_s01:turretyaw014	spacestation_turret_base_s01:turretyaw015	spacestation_turret_base_s01:turretyaw016	spacestation_turret_base_s01:turretyaw017	spacestation_turret_base_s01:turretyaw018	spacestation_turret_base_s01:turretyaw019	spacestation_turret_base_s01:turretyaw020	spacestation_turret_base_s01:turretyaw021	spacestation_turret_base_s01:turretyaw022	spacestation_turret_base_s01:turretyaw023	60
wpn_spacestation_rebel_turret_s02													spacestation_turret_base_s02:turretyaw01	spacestation_turret_base_s02:turretyaw02	spacestation_turret_base_s02:turretyaw03	spacestation_turret_base_s02:turretyaw04	spacestation_turret_base_s02:turretyaw05	spacestation_turret_base_s02:turretyaw06	spacestation_turret_base_s02:turretyaw07	spacestation_turret_base_s02:turretyaw08	spacestation_turret_base_s02:turretyaw09	spacestation_turret_base_s02:turretyaw010	spacestation_turret_base_s02:turretyaw011	spacestation_turret_base_s02:turretyaw012	spacestation_turret_base_s02:turretyaw013	spacestation_turret_base_s02:turretyaw014	spacestation_turret_base_s02:turretyaw015	spacestation_turret_base_s02:turretyaw016	spacestation_turret_base_s02:turretyaw017	spacestation_turret_base_s02:turretyaw018	spacestation_turret_base_s02:turretyaw019	spacestation_turret_base_s02:turretyaw020	spacestation_turret_base_s02:turretyaw021	spacestation_turret_base_s02:turretyaw022	spacestation_turret_base_s02:turretyaw023	60
wpn_star_destroyer_turret_dome													spacestation_turret_base_s01:turretyaw01	spacestation_turret_base_s01:turretyaw02	spacestation_turret_base_s01:turretyaw03	spacestation_turret_base_s01:turretyaw04	spacestation_turret_base_s01:turretyaw05	spacestation_turret_base_s01:turretyaw06	spacestation_turret_base_s01:turretyaw07	spacestation_turret_base_s01:turretyaw08	spacestation_turret_base_s01:turretyaw09	spacestation_turret_base_s01:turretyaw010	spacestation_turret_base_s01:turretyaw011	spacestation_turret_base_s01:turretyaw012	spacestation_turret_base_s01:turretyaw013	spacestation_turret_base_s01:turretyaw014	spacestation_turret_base_s01:turretyaw015	spacestation_turret_base_s01:turretyaw016	spacestation_turret_base_s01:turretyaw017	spacestation_turret_base_s01:turretyaw018	spacestation_turret_base_s01:turretyaw019	spacestation_turret_base_s01:turretyaw020	spacestation_turret_base_s01:turretyaw021	spacestation_turret_base_s01:turretyaw022	spacestation_turret_base_s01:turretyaw023	60
wpn_star_destroyer_turret_square													spacestation_turret_base_s02:turretyaw01	spacestation_turret_base_s02:turretyaw02	spacestation_turret_base_s02:turretyaw03	spacestation_turret_base_s02:turretyaw04	spacestation_turret_base_s02:turretyaw05	spacestation_turret_base_s02:turretyaw06	spacestation_turret_base_s02:turretyaw07	spacestation_turret_base_s02:turretyaw08	spacestation_turret_base_s02:turretyaw09	spacestation_turret_base_s02:turretyaw010	spacestation_turret_base_s02:turretyaw011	spacestation_turret_base_s02:turretyaw012	spacestation_turret_base_s02:turretyaw013	spacestation_turret_base_s02:turretyaw014	spacestation_turret_base_s02:turretyaw015	spacestation_turret_base_s02:turretyaw016	spacestation_turret_base_s02:turretyaw017	spacestation_turret_base_s02:turretyaw018	spacestation_turret_base_s02:turretyaw019	spacestation_turret_base_s02:turretyaw020	spacestation_turret_base_s02:turretyaw021	spacestation_turret_base_s02:turretyaw022	spacestation_turret_base_s02:turretyaw023	60
rct_generic	"reactor1,reactor2,reactor3,reactor4"																																			60
eng_generic																																				60
shd_generic			shield1_1	shield2_1																																60
