missile_type_id	name	max_time	min_time	server_speed	client_speed	countermeasure_time_factor	target_acquisition_seconds	target_acquisition_angle	appearance	trail_appearance	fire_effect	hit_effect	countermeasure_effect	countermeasure_difficulty
i[-1]	s	f[0.0]	f[0.0]	f[0.0]	f[0.0]	f[0.0]	f[2.0]	f[15.0]	s	s	s	s	s	i[0]
0	player_concussion_mk1	5	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_concussion_trail.prt	clienteffect/cbt_msl_fire_concussion.cef	clienteffect/cbt_msl_impact_concussion.cef	clienteffect/cbt_cntr_measures_explode.cef	50
1	player_concussion_mk2	6	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_concussion_trail.prt	clienteffect/cbt_msl_fire_concussion.cef	clienteffect/cbt_msl_impact_concussion.cef	clienteffect/cbt_cntr_measures_explode.cef	60
2	player_concussion_mk3	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_concussion_trail.prt	clienteffect/cbt_msl_fire_concussion.cef	clienteffect/cbt_msl_impact_concussion.cef	clienteffect/cbt_cntr_measures_explode.cef	70
3	player_imagerec_mk1	6	1	100	95	0.9	1	20	appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_image_recognition_trail.prt	clienteffect/cbt_msl_fire_imagerec.cef	clienteffect/cbt_msl_impact_imagerec.cef	clienteffect/cbt_cntr_measures_explode.cef	70
4	player_imagerec_mk2	7	1	100	95	0.9	1	20	appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_image_recognition_trail.prt	clienteffect/cbt_msl_fire_imagerec.cef	clienteffect/cbt_msl_impact_imagerec.cef	clienteffect/cbt_cntr_measures_explode.cef	80
5	player_proton_mk1	5	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_friendorfoe_trail.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_proton.cef	clienteffect/cbt_cntr_measures_explode.cef	50
6	player_proton_mk2	6	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_friendorfoe_trail.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_proton.cef	clienteffect/cbt_cntr_measures_explode.cef	60
7	player_proton_mk3	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_friendorfoe_trail.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_proton.cef	clienteffect/cbt_cntr_measures_explode.cef	70
8	player_proton_mk4	7	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_friendorfoe_trail.prt	clienteffect/cbt_msl_fire_proton.cef	clienteffect/cbt_msl_impact_proton.cef	clienteffect/cbt_cntr_measures_explode.cef	80
9	player_seismic_mk1	5	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	50
10	player_seismic_mk2	6	1	100	95	1			appearance/missile_proton_torpedo_s01.apt	appearance/pt_missile_heat_seeking.prt	clienteffect/cbt_msl_fire_seismic.cef	clienteffect/cbt_msl_impact_seismic.cef	clienteffect/cbt_cntr_measures_explode.cef	60
