component	engine	booster	weapon_0	weapon_1	weapon_2
s	s	s	s	s	s
bst_corellian_experimental_tjh3		arc170_booster_s01:booster1			
bst_corellian_tjh3		arc170_booster_s02:booster1			
bst_cygnus_flashboost3		arc170_booster_s01:booster1			
bst_cygnus_flashboost4		arc170_booster_s02:booster1			
bst_freitek_outrunner_x1		arc170_booster_s01:booster1			
bst_gallofree_light		arc170_booster_s02:booster1			
bst_generic		arc170_booster_s01:booster1			
bst_incom_intimidator_mk1		arc170_booster_s02:booster1			
bst_incom_intimidator_mk2		arc170_booster_s02:booster1			
bst_incom_intimidator_mk3		arc170_booster_s01:booster1			
bst_incom_intimidator_mk4		arc170_booster_s02:booster1			
bst_incom_nkj31		arc170_booster_s01:booster1			
bst_incom_performance_nkj31		arc170_booster_s02:booster1			
bst_kde_br12		arc170_booster_s01:booster1			
bst_koensayr_evh12		arc170_booster_s02:booster1			
bst_koensayr_racer_mk1		arc170_booster_s01:booster1			
bst_koensayr_racer_mk2		arc170_booster_s02:booster1			
bst_koensayr_racer_mk3		arc170_booster_s01:booster1			
bst_koensayr_racer_mk4		arc170_booster_s02:booster1			
bst_koensayr_special_evh12		arc170_booster_s01:booster1			
bst_kse_cb6		arc170_booster_s02:booster1			
bst_kse_performance_cb6		arc170_booster_s01:booster1			
bst_kuat_military_mk1		arc170_booster_s02:booster1			
bst_kuat_military_mk2		arc170_booster_s02:booster1			
bst_kuat_military_mk3		arc170_booster_s01:booster1			
bst_kuat_military_mk4		arc170_booster_s02:booster1			
bst_mandal_enhanced_jbj_mk1		arc170_booster_s01:booster1			
bst_mandal_jbj_mk1		arc170_booster_s02:booster1			
bst_mission_reward_imperial_rss_ion_booster		arc170_booster_s01:booster1			
bst_mission_reward_neutral_mandal_m_series		arc170_booster_s02:booster1			
bst_mission_reward_neutral_mandal_q_series		arc170_booster_s01:booster1			
bst_mission_reward_rebel_novaldex_hypernova		arc170_booster_s02:booster1			
bst_mission_reward_rebel_qualdex_halcyon		arc170_booster_s01:booster1			
bst_mk1		arc170_booster_s01:booster1			
bst_mk2		arc170_booster_s01:booster1			
bst_mk3		arc170_booster_s01:booster1			
bst_mk4		arc170_booster_s02:booster1			
bst_mk5		arc170_booster_s02:booster1			
bst_moncal_jlc37		arc170_booster_s02:booster1			
bst_moncal_limited_jlc37		arc170_booster_s01:booster1			
bst_nova_breaker		arc170_booster_s02:booster1			
bst_novaldex_pulsar		arc170_booster_s02:booster1			
bst_novaldex_pulsar_advanced		arc170_booster_s01:booster1			
bst_novaldex_quasar		arc170_booster_s02:booster1			
bst_novaldex_quasar_advanced		arc170_booster_s01:booster1			
bst_qualdex_xboost_mk1		arc170_booster_s02:booster1			
bst_qualdex_xboost_mk2		arc170_booster_s02:booster1			
bst_qualdex_xboost_mk3		arc170_booster_s01:booster1			
bst_qualdex_xboost_mk4		arc170_booster_s02:booster1			
bst_rss_special		arc170_booster_s01:booster1			
bst_sap_imperial_1		arc170_booster_s02:booster1			
bst_sap_imperial_2		arc170_booster_s01:booster1			
bst_sds_enhanced_imperial_2		arc170_booster_s02:booster1			
bst_sfs_imperial_1		arc170_booster_s01:booster1			
bst_sfs_imperial_2		arc170_booster_s02:booster1			
bst_slayn_ion_booster_mk1		arc170_booster_s01:booster1			
bst_sorosuub_liberator_mk1		arc170_booster_s02:booster1			
bst_sorosuub_prized_liberator_mk1		arc170_booster_s01:booster1			
bst_subpro_accelatron_mk1		arc170_booster_s02:booster1			
bst_subpro_tuned_accelatron_mk1		arc170_booster_s01:booster1			
