component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
collection_reward_booster_01_mk1		hutt_light_booster_s01:booster1		
collection_reward_booster_01_mk2		hutt_light_booster_s01:booster1		
collection_reward_booster_01_mk3		hutt_light_booster_s01:booster1		
collection_reward_booster_01_mk4		hutt_light_booster_s01:booster1		
collection_reward_booster_01_mk5		hutt_light_booster_s01:booster1		
bst_z95_basic		hutt_light_booster_s01:booster1		
eng_z95_basic	hutt_light_engine_s01:engine1			
eng_nova_01	hutt_light_engine_s01:engine1			
eng_orion_01	hutt_light_engine_s01:engine1			
collection_reward_engine_01_mk1	hutt_light_engine_s01:engine1			
collection_reward_engine_01_mk2	hutt_light_engine_s01:engine1			
collection_reward_engine_01_mk3	hutt_light_engine_s01:engine1			
collection_reward_engine_01_mk4	hutt_light_engine_s01:engine1			
collection_reward_engine_01_mk5	hutt_light_engine_s01:engine1			
eng_t86_shooting_star	hutt_light_engine_s01:engine1			
eng_kuat_m24	hutt_light_engine_s01:engine1			
wpn_z95_basic			hutt_light_weapon_s01:weapon1	hutt_light_weapon_s01:weapon1
wpn_nova_ioncannon			hutt_light_weapon_s01:weapon1	hutt_light_weapon_s01:weapon1
wpn_orion_disruptor			hutt_light_weapon_s01:weapon1	hutt_light_weapon_s01:weapon1
