component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
bst_mk1		hutt_medium_booster_s01:booster1		
bst_mk2		hutt_medium_booster_s01:booster1		
bst_mk3		hutt_medium_booster_s02:booster1		
bst_mk4		hutt_medium_booster_s02:booster1		
bst_xwing_booster_s01		hutt_medium_booster_s01:booster1		
eng_crafted_incom_fusialthrust	hutt_medium_engine_s01:engine1			
eng_crafted_novaldex_eventhorizon	hutt_medium_engine_s01:engine1			
eng_crafted_qualdex_kyromaster	hutt_medium_engine_s01:engine1			
eng_incom_fusialthrust	hutt_medium_engine_s01:engine1			
eng_novaldex_eventhorizon	hutt_medium_engine_s01:engine1			
eng_qualdex_kyromaster	hutt_medium_engine_s01:engine1			
wpn_advanced_blaster			hutt_medium_weapon1_s05:weapon1_1	hutt_medium_weapon2_s05:weapon2_1
wpn_crafted_incom_disruptor			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_crafted_slayn_ioncannon			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_crafted_subpro_tripleblaster			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_heavy_blaster			hutt_medium_weapon1_s05:weapon1_1	hutt_medium_weapon2_s05:weapon2_1
wpn_heavy_ioncannon			hutt_medium_weapon1_s06:weapon1_1	hutt_medium_weapon2_s06:weapon2_1
wpn_incom_disruptor			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_light_blaster			hutt_medium_weapon1_s05:weapon1_1	hutt_medium_weapon2_s05:weapon2_1
wpn_light_disruptor			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_light_ioncannon			hutt_medium_weapon1_s06:weapon1_1	hutt_medium_weapon2_s06:weapon2_1
wpn_medium_blaster			hutt_medium_weapon1_s05:weapon1_1	hutt_medium_weapon2_s05:weapon2_1
wpn_medium_disruptor			hutt_medium_weapon1_s01:weapon1_1	hutt_medium_weapon2_s01:weapon2_1
wpn_medium_ioncannon			hutt_medium_weapon1_s06:weapon1_1	hutt_medium_weapon2_s06:weapon2_1
wpn_slayn_ioncannon			hutt_medium_weapon1_s06:weapon1_1	hutt_medium_weapon2_s06:weapon2_1
wpn_subpro_tripleblaster			hutt_medium_weapon1_s04:weapon1_1	hutt_medium_weapon2_s04:weapon2_1
