component	engine
s	s
eng_tiefighter_basic	tie_engine_s01:engine_glow1
eng_nova_01	tie_engine_s01:engine_glow1
eng_orion_01	tie_engine_s01:engine_glow1
collection_reward_engine_01_mk1	tie_engine_s01:engine_glow1
collection_reward_engine_01_mk2	tie_engine_s01:engine_glow1
collection_reward_engine_01_mk3	tie_engine_s01:engine_glow1
collection_reward_engine_01_mk4	tie_engine_s01:engine_glow1
collection_reward_engine_01_mk5	tie_engine_s01:engine_glow1
eng_t86_shooting_star	tie_engine_s01:engine_glow1
eng_kuat_m24	tie_engine_s01:engine_glow1
