component	weapon_0	weapon_1
s	s	s
wpn_crafted_incom_disruptor	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_crafted_slayn_ioncannon	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_crafted_subpro_tripleblaster	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_generic	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_incom_disruptor	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_slayn_ioncannon	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_subpro_tripleblaster	lambda_weapon1:weapon1	lambda_turret:turret1
wpn_tieadvanced_blaster	lambda_weapon1:weapon1	lambda_turret:turret1

