component	engine	weapon_0	weapon_1
s	s	s	s
eng_bezelbok_kessel_runner	tie_engine_s01:		
eng_corellian_cruiser_grade_mk1	tie_engine_s01:		
eng_corellian_cruiser_grade_mk2	tie_engine_s01:		
eng_corellian_deluxe_cruiser_grade_mk1	tie_engine_s01:		
eng_crafted_incom_fusialthrust	tie_engine_s01:		
eng_crafted_novaldex_eventhorizon	tie_engine_s01:		
eng_crafted_qualdex_kyromaster	tie_engine_s01:		
eng_cygnus_hd3	tie_engine_s01:		
eng_cygnus_hd7	tie_engine_s01:		
eng_cygnus_hd8	tie_engine_s01:		
eng_cygnus_hd_5	tie_engine_s01:		
eng_cygnus_hdx	tie_engine_s01:		
eng_damorian_rx7	tie_engine_s01:		
eng_freitek_dual_jet	tie_engine_s01:		
eng_gallofree_advanced	tie_engine_s01:
eng_gallofree_jx2	tie_engine_s01:
eng_gallofree_jx3	tie_engine_s01:
eng_h17_singularity	tie_engine_s01:
eng_haor_chall_old_engine	tie_engine_s01:
eng_incom_advanced	tie_engine_s01:
eng_incom_advanced_fusialthrust	tie_engine_s01:
eng_incom_e16	tie_engine_s01:
eng_incom_elite	tie_engine_s01:
eng_incom_fusialthrust	tie_engine_s01:
eng_incom_fusialthrust_2	tie_engine_s01:
eng_incom_heavy_fusialthrust	tie_engine_s01:
eng_incom_improved_fusialthrust_2	tie_engine_s01:
eng_incom_light_fusialthrust	tie_engine_s01:
eng_koensayr_advanced	tie_engine_s01:
eng_koensayr_dual_small_ionjet	tie_engine_s01:
eng_koensayr_elite	tie_engine_s01:
eng_koensayr_enhanced_dual_small_ionjet	tie_engine_s01:
eng_koensayr_heavy_ionjet	tie_engine_s01:
eng_koensayr_ionjet	tie_engine_s01:
eng_koensayr_small_ionjet	tie_engine_s01:
eng_koensayr_tuned_small_ionjet	tie_engine_s01:
eng_kongar_defender	tie_engine_s01:
eng_kse_a2x	tie_engine_s01:
eng_kse_a5x	tie_engine_s01:
eng_kse_a7x	tie_engine_s01:
eng_kse_a8x	tie_engine_s01:
eng_kse_advanced	tie_engine_s01:
eng_kse_elite	tie_engine_s01:
eng_kse_improved_a2x	tie_engine_s01:
eng_kuat_a9x	tie_engine_s01:
eng_kuat_f31	tie_engine_s01:
eng_kuat_tc40	tie_engine_s01:
eng_mandal_advanced	tie_engine_s01:
eng_mandal_elite	tie_engine_s01:
eng_mandal_enhanced_heavy	tie_engine_s01:
eng_mandal_firestorm	tie_engine_s01:
eng_mandal_firestorm_2	tie_engine_s01:
eng_mandal_heavy	tie_engine_s01:
eng_mandal_x37_vandal	tie_engine_s01:
eng_mandal_x57_vandal	tie_engine_s01:
eng_mission_reward_imperial_cygnus_megadrive	tie_engine_s01:
eng_mission_reward_neutral_haor_chall_military	tie_engine_s01:
eng_mission_reward_neutral_mandal_inferno	tie_engine_s01:
eng_mission_reward_rebel_incom_military	tie_engine_s01:
eng_mk1	tie_engine_s01:
eng_mk2	tie_engine_s01:
eng_mk3	tie_engine_s01:
eng_mk4	tie_engine_s01:
eng_mk5	tie_engine_s01:
eng_moncal_charged_standard	tie_engine_s01:
eng_moncal_enhanced_light	tie_engine_s01:
eng_moncal_heavy	tie_engine_s01:
eng_moncal_ifs32	tie_engine_s01:
eng_moncal_ifs64	tie_engine_s01:
eng_moncal_improved_heavy	tie_engine_s01:
eng_moncal_light	tie_engine_s01:
eng_moncal_standard	tie_engine_s01:
eng_novaldex_advanced	tie_engine_s01:
eng_novaldex_eventhorizon	tie_engine_s01:
eng_novaldex_light_eventhorizon	tie_engine_s01:
eng_novaldex_singularity	tie_engine_s01:
eng_novaldex_x12	tie_engine_s01:
eng_novaldex_x6	tie_engine_s01:
eng_novaldex_x7	tie_engine_s01:
eng_novaldex_x9	tie_engine_s01:
eng_nubian_221	tie_engine_s01:
eng_nubian_221_racing_mod	tie_engine_s01:
eng_prototype	tie_engine_s01:
eng_qualdex_a10	tie_engine_s01:
eng_qualdex_a13	tie_engine_s01:
eng_qualdex_advanced	tie_engine_s01:
eng_qualdex_b10	tie_engine_s01:
eng_qualdex_elite	tie_engine_s01:
eng_qualdex_igt	tie_engine_s01:
eng_qualdex_kyromaster	tie_engine_s01:
eng_qualdex_small_kyromaster	tie_engine_s01:
eng_quantum_ion_drive	tie_engine_s01:
eng_rendili_demon_mk1	tie_engine_s01:
eng_rendili_elite	tie_engine_s01:
eng_rss_advanced	tie_engine_s01:
eng_rss_elite	tie_engine_s01:
eng_rss_imperial_skyrunner	tie_engine_s01:
eng_rss_imperial_skyrunner_2	tie_engine_s01:
eng_rss_imperial_skyrunner_3	tie_engine_s01:
eng_rss_imperial_skyrunner_4	tie_engine_s01:
eng_sds_imperial_1	tie_engine_s01:
eng_sds_imperial_2	tie_engine_s01:
eng_sds_limited_imperial_1	tie_engine_s01:
eng_seinar_ps56	tie_engine_s01:
eng_sfs_advanced	tie_engine_s01:
eng_sfs_elite	tie_engine_s01:
eng_sfs_imperial_1	tie_engine_s01:
eng_sfs_imperial_2	tie_engine_s01:
eng_sfs_imperial_3	tie_engine_s01:
eng_sfs_imperial_4	tie_engine_s01:
eng_sfs_imperial_5	tie_engine_s01:
eng_sfs_modified_imperial_3	tie_engine_s01:
eng_sfs_performance_imperial_1	tie_engine_s01:
eng_sfs_tuned_imperial_2	tie_engine_s01:
eng_sorosuub_l_337_ion_engine	tie_engine_s01:
eng_sorosuub_tuned_l_337_ion_engine	tie_engine_s01:
eng_sorosuub_u83r_ion_drive	tie_engine_s01:
eng_subpro_light_engines	tie_engine_s01:
eng_surronian_a2	tie_engine_s01:
eng_surronian_a25	tie_engine_s01:
eng_ubrikkian_n2	tie_engine_s01:
eng_reward_kuat_elite	tie_engine_s01:
eng_nova_01	tie_engine_s01:
eng_orion_01	tie_engine_s01:
collection_reward_engine_01_mk1	tie_engine_s01:
collection_reward_engine_01_mk2	tie_engine_s01:
collection_reward_engine_01_mk3	tie_engine_s01:		
collection_reward_engine_01_mk4	tie_engine_s01:		
collection_reward_engine_01_mk5	tie_engine_s01:		
eng_t86_shooting_star	tie_engine_s01:		
eng_kuat_m24	tie_engine_s01:		
wpn_advanced_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_advanced_blaster_green		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_advanced_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_advanced_ioncannon		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_advanced		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_elite		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_sw4		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_sw6		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_sw7		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_armek_sw8		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_awing_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_borstel_rg9		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_bwing_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_corellian_1d		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_corellian_ag1g_laser		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_corellian_ag2g_quad_laser		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_corellian_cruiser_grade_blaster_mk1		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_corellian_heavy_gauss		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_crafted_incom_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_crafted_slayn_ioncannon		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_crafted_subpro_tripleblaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_cygnus_destroyer_mk1		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_cygnus_destroyer_mk2		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_cygnus_elite		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_cygnus_eradicator_1		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_experimental_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_experimental_blaster_green		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_experimental_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_experimental_ioncannon		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_fastspray_2000_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_freitek_cannoneer_mk1		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_gyrhil_auto_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_gyrhil_r9x		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_haor_chall_speedblaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_heavy_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_heavy_blaster_green		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_heavy_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_heavy_ioncannon		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_modified_scorcher_elite		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher_2		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher_3		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher_advanced		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher_elite		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hk_scorcher_heavy		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_hoersch_railgun		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_advanced_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_elite_quad_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_heavy_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_heavy_quad_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_light_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_quad_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_shredder		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_incom_tt13		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
