component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7	weapon_8	weapon_9	weapon_10	weapon_11	weapon_12	weapon_13	weapon_14	weapon_15	weapon_16	weapon_17	weapon_18	weapon_19	weapon_20	weapon_21	weapon_22	weapon_23	weapon_24	weapon_25	weapon_26	weapon_27	weapon_28	weapon_29	weapon_30	weapon_31	weapon_32	weapon_33	weapon_34	weapon_35	weapon_36	weapon_37	weapon_38	weapon_39	weapon_40	weapon_41	weapon_42	weapon_43	weapon_44	weapon_45	weapon_46	weapon_47	weapon_48	weapon_49	weapon_50	weapon_51	weapon_52	weapon_53	weapon_54	weapon_55	weapon_56	weapon_57	weapon_58	weapon_59	weapon_60	weapon_61	weapon_62	weapon_63	weapon_64	weapon_65	weapon_66	weapon_67	weapon_68	weapon_69	weapon_70	weapon_71	weapon_72	weapon_73	weapon_74	weapon_75	weapon_76	weapon_77	weapon_78	weapon_79	weapon_80	weapon_81	weapon_82	weapon_83	weapon_84	weapon_85	weapon_86	weapon_87	weapon_88	weapon_89	weapon_90	weapon_91	weapon_92	weapon_93	weapon_94	weapon_95	weapon_96	weapon_97	weapon_98	weapon_99	hit_range
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	f
wpn_xwing_missile_s01																																																																																																																	60
bst_xwing_booster_s01																																																																																																																	60
rct_generic	"reactor_damage1,reactor_damage2,reactor_damage3,reactor_damage4,reactor_damage5,reactor_damage6"																																																																																																																30
shd_generic			star_destroyer_shieldtower_1:star_destroyer_shieldtower_1	star_destroyer_shieldtower_2:star_destroyer_shieldtower_2																																																																																																													60
arm_generic																																																																																																																	60
cap_generic																																																																																																																	60
ddi_generic																																																																																																																	60
wpn_generic																																																																																																																	60
bst_generic																																																																																																																	60
eng_generic																																																																																																																	60
wpn_tieadvanced_blaster																																																																																																																	60
eng_novaldex_eventhorizon																																																																																																																	60
eng_qualdex_kyromaster																																																																																																																	60
eng_incom_fusialthrust		"engine_damage1,engine_damage2,engine_damage3"																																																																																																															95
wpn_incom_disruptor																																																																																																																	60
wpn_slayn_ioncannon																																																																																																																	60
wpn_subpro_tripleblaster																																																																																																																	60
eng_crafted_novaldex_eventhorizon																																																																																																																	60
eng_crafted_qualdex_kyromaster																																																																																																																	60
eng_crafted_incom_fusialthrust																																																																																																																	60
wpn_crafted_incom_disruptor																																																																																																																	60
wpn_crafted_slayn_ioncannon																																																																																																																	60
wpn_crafted_subpro_tripleblaster																																																																																																																	60
arm_durasteel_plating																																																																																																																	60
arm_adv_durasteel_plating																																																																																																																	60
arm_exp_durasteel_plating																																																																																																																	60
bst_xwing_booster_mk1																																																																																																																	60
bst_xwing_booster_mk2																																																																																																																	60
shd_deflector_shields																																																																																																																	60
shd_adv_deflector_shields																																																																																																																	60
shd_exp_deflector_shields																																																																																																																	60
rct_fusion_reactor_mk1																																																																																																																	60
rct_fusion_reactor_mk2																																																																																																																	60
rct_fusion_reactor_mk3																																																																																																																	60
wpn_seinar_concussion_missile_s01																																																																																																																	60
wpn_sienar_heatseeker_missile_s01																																																																																																																	60
wpn_slayn_imagerec_missile_s01																																																																																																																	60
wpn_incom_proton_missile_s01																																																																																																																	60
wpn_incom_seismic_missile_s01																																																																																																																	60
bdg_generic										star_destroyer_bridge:star_destroyer_bridge																																																																																																							60
hgr_generic											star_destroyer_hangar:star_destroyer_hangar																																																																																																						60
tst_generic																																																																																																																	60
wpn_crafted_basic_launcher																																																																																																																	60
wpn_capitalship_turret_test																																																																																																																	60
wpn_crafted_chaff_launcher																																																																																																																	60
wpn_corvette_turret_sm_s01																																																																																																																	60
eng_novaldex_singularity																																																																																																																	60
eng_qualdex_a10																																																																																																																	60
eng_novaldex_x12																																																																																																																	60
eng_koensayr_ionjet																																																																																																																	60
eng_damorian_rx7																																																																																																																	60
eng_kuat_f31																																																																																																																	60
eng_qualdex_igt																																																																																																																	60
eng_ubrikkian_n2																																																																																																																	60
eng_kuat_tc40																																																																																																																	60
eng_cygnus_hd7																																																																																																																	60
eng_incom_e16																																																																																																																	60
eng_surronian_a2																																																																																																																	60
eng_surronian_a25																																																																																																																	60
eng_kongar_defender																																																																																																																	60
eng_seinar_ps56																																																																																																																	60
eng_kuat_a9x																																																																																																																	60
eng_nubian_221																																																																																																																	60
eng_nubian_221_racing_mod																																																																																																																	60
