chassis	strHardpoint	weaponIndex	minYaw	maxYaw	minPitch	maxPitch
s	c	i	f	f	f	f
yt1300	top?	0	-180	180	-90	5
yt1300	bottom?	1	-180	180	-90	5
yt1300_tier1	top?	0	-180	180	-90	5
yt1300_tier1	bottom?	1	-180	180	-90	5
yt1300_tier2	top?	0	-180	180	-90	5
yt1300_tier2	bottom?	1	-180	180	-90	5
yt1300_tier3	top?	0	-180	180	-90	5
yt1300_tier3	bottom?	1	-180	180	-90	5
yt1300_tier4	top?	0	-180	180	-90	5
yt1300_tier4	bottom?	1	-180	180	-90	5
yt1300_tier5	top?	0	-180	180	-90	6
yt1300_tier5	bottom?	1	-180	180	-90	6
player_yt2400	top?	0	-180	180	-90	7
player_yt2400	bottom?	1	-180	180	-90	7
player_yt1300	top?	0	-180	180	-90	7
player_yt1300	bottom?	1	-180	180	-90	7
player_ywing	rear turret	1	-180	180	-90	5
player_hutt_turret_ship	top?	1	-180	180	-90	7
nebulon	"unknown, skip"	0	-90	90	-25	5
nebulon	"unknown, skip"	1	-90	90	-25	5
nebulon	"unknown, skip"	2	-90	90	-25	5
nebulon	"unknown, skip"	3	-90	90	-25	5
nebulon	"unknown, skip"	4	-90	90	-25	5
nebulon	"unknown, skip"	5	-90	90	-25	5
nebulon	"unknown, skip"	6	-90	90	-25	5
nebulon	"unknown, skip"	7	-90	90	-25	5
player_tieaggressor	rear turret	1	-120	120	-90	10
tieaggressor	rear turret	1	-120	120	-90	10
tieaggressor_tier1	rear turret	1	-120	120	-90	10
tieaggressor_tier2	rear turret	1	-120	120	-90	10
tieaggressor_tier3	rear turret	1	-120	120	-90	10
tieaggressor_tier4	rear turret	1	-120	120	-90	10
tieaggressor_tier5	rear turret	1	-120	120	-90	10
corvette	corellian_corvette_turret_small_s01:turret_small1	0	-180	180	-90	0
corvette	corellian_corvette_turret_small_s01:turret_small2	1	-180	180	-90	0
corvette	corellian_corvette_turret_small_s01:turret_small3	2	-180	180	-90	0
corvette	corellian_corvette_turret_small_s01:turret_small4	3	-180	180	-90	0
corvette	corellian_corvette_turret_large_base_s01:turretyaw_large_top	4	-180	180	-90	0
corvette	corellian_corvette_turret_large_base_s01:turretyaw_large_bottom	5	-180	180	-90	0
corvette	corellian_corvette_turret_side_r:turret_side_right	6	-135	135	0	0
corvette	corellian_corvette_turret_side_l:turret_side_left	7	-135	135	0	0
player_decimator	top?	0	-180	180	-90	5
player_decimator	bottom?	1	-180	180	-90	5
decimator_tier1	top?	0	-180	180	-90	5
decimator_tier1	bottom?	1	-180	180	-90	5
decimator_tier2	top?	0	-180	180	-90	5
decimator_tier2	bottom?	1	-180	180	-90	5
decimator_tier3	top?	0	-180	180	-90	5
decimator_tier3	bottom?	1	-180	180	-90	5
decimator_tier4	top?	0	-180	180	-90	6
decimator_tier4	bottom?	1	-180	180	-90	6
decimator_tier5	top?	0	-180	180	-90	7
decimator_tier5	bottom?	1	-180	180	-90	7
player_ykl37r	top?	0	-180	180	-90	5
player_ykl37r	bottom?	1	-180	180	-90	5
player_y8_mining_ship	top?	0	-180	180	-90	0
player_y8_mining_ship	bottom?	1	70	290	-90	0
player_y8_mining_ship	3rd	3	-180	180	-90	0
player_y8_mining_ship	4th	4	-180	180	-90	0
ykl37r_tier1	top?	0	-180	180	-90	5
ykl37r_tier1	bottom?	1	-180	180	-90	5
ykl37r_tier2	top?	0	-180	180	-90	5
ykl37r_tier2	bottom?	1	-180	180	-90	5
ykl37r_tier3	top?	0	-180	180	-90	5
ykl37r_tier3	bottom?	1	-180	180	-90	5
ykl37r_tier4	top?	0	-180	180	-90	6
ykl37r_tier4	bottom?	1	-180	180	-90	6
ykl37r_tier5	top?	0	-180	180	-90	7
ykl37r_tier5	bottom?	1	-180	180	-90	7
lambdashuttle	unknown	1	-45	45	-45	30
lambdashuttle_tier1	unknown	1	-45	45	-45	30
lambdashuttle_tier2	unknown	1	-45	45	-45	30
lambdashuttle_tier3	unknown	1	-45	45	-45	30
lambdashuttle_tier4	unknown	1	-45	45	-45	30
lambdashuttle_tier5	unknown	1	-45	45	-45	30
merchant_cruiser_medium	merchant_cruiser_medium_turret_base_s01:turretyaw1	0	-180	180	-30	5
merchant_cruiser_medium	merchant_cruiser_medium_turret_base_s01:turretyaw2	1	-180	180	-30	5
