component	engine	booster	weapon_0	weapon_1
s	s	s	s	s
bst_mk1		kse_firespray_booster_s01:booster1		
bst_mk2		kse_firespray_booster_s01:booster1		
bst_mk3		kse_firespray_booster_s02:booster1		
bst_mk4		kse_firespray_booster_s02:booster1		
bst_xwing_booster_mk1		kse_firespray_booster_s01:booster1		
bst_xwing_booster_mk2		kse_firespray_booster_s02:booster1		
eng_crafted_incom_fusialthrust	kse_firespray_engine_s02:engine1			
eng_crafted_novaldex_eventhorizon	kse_firespray_engine_s01:engine1			
eng_crafted_qualdex_kyromaster	kse_firespray_engine_s02:engine1			
eng_incom_fusialthrust	kse_firespray_engine_s02:engine1			
eng_novaldex_eventhorizon	kse_firespray_engine_s01:engine1			
eng_qualdex_kyromaster	kse_firespray_engine_s02:engine1			
wpn_advanced_blaster			kse_firespray_weapon1_s05:weapon1	kse_firespray_weapon2_s05:weapon2
wpn_crafted_incom_disruptor			kse_firespray_weapon1_s01:weapon1	kse_firespray_weapon2_s01:weapon2
wpn_crafted_slayn_ioncannon			kse_firespray_weapon1_s06:weapon1	kse_firespray_weapon2_s06:weapon2
wpn_crafted_subpro_tripleblaster			kse_firespray_weapon1_s04:weapon1	kse_firespray_weapon2_s04:weapon2
wpn_heavy_blaster			kse_firespray_weapon1_s05:weapon1	kse_firespray_weapon2_s05:weapon2
wpn_heavy_ioncannon			kse_firespray_weapon1_s06:weapon1	kse_firespray_weapon2_s06:weapon2
wpn_incom_disruptor			kse_firespray_weapon1_s01:weapon1	kse_firespray_weapon2_s01:weapon2
wpn_light_blaster			kse_firespray_weapon1_s05:weapon1	kse_firespray_weapon2_s05:weapon2
wpn_light_disruptor			kse_firespray_weapon1_s01:weapon1	kse_firespray_weapon2_s01:weapon2
wpn_light_ioncannon			kse_firespray_weapon1_s06:weapon1	kse_firespray_weapon2_s06:weapon2
wpn_medium_blaster			kse_firespray_weapon1_s05:weapon1	kse_firespray_weapon2_s05:weapon2
wpn_medium_disruptor			kse_firespray_weapon1_s01:weapon1	kse_firespray_weapon2_s01:weapon2
wpn_medium_ioncannon			kse_firespray_weapon1_s06:weapon1	kse_firespray_weapon2_s06:weapon2
wpn_slayn_ioncannon			kse_firespray_weapon1_s06:weapon1	kse_firespray_weapon2_s06:weapon2
wpn_subpro_tripleblaster			kse_firespray_weapon1_s04:weapon1	kse_firespray_weapon2_s04:weapon2

