component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7	hit_range
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	f
wpn_xwing_missile_s01																					
bst_xwing_booster_s01																					
eng_crafted_novaldex_eventhorizon																					
eng_crafted_qualdex_kyromaster																					
eng_crafted_incom_fusialthrust																					
wpn_crafted_incom_disruptor																					
wpn_crafted_slayn_ioncannon																					
wpn_crafted_subpro_tripleblaster																					
eng_novaldex_eventhorizon																					
eng_qualdex_kyromaster																					
eng_incom_fusialthrust																					
wpn_incom_disruptor																					
wpn_slayn_ioncannon																					
wpn_subpro_tripleblaster																					
wpn_corvette_turret_sm_s01													corellian_corvette_turret_small_s01:turret_small1	corellian_corvette_turret_small_s01:turret_small2	corellian_corvette_turret_small_s01:turret_small3	corellian_corvette_turret_small_s01:turret_small4	corellian_corvette_turret_large_base_s01:turretyaw_large_top	corellian_corvette_turret_large_base_s01:turretyaw_large_bottom	corellian_corvette_turret_side_r:turret_side_right	corellian_corvette_turret_side_l:turret_side_left	12
rct_generic	reactor1																				6
eng_generic		"engine1,engine2,engine3,engine3,engine5,engine6,engine6,engine7,engine8,engine9,engine10,engine11"																			7.5
shd_generic			shield1	shield2																	6
bdg_generic										bridge1											8
