name	object_template	shared_object_template	component_type	compatibility
s	s	s	s	s
arm_adv_durasteel_plating	object/tangible/ship/crafted/armor/adv_durasteel_plating.iff	object/tangible/ship/crafted/armor/shared_adv_durasteel_plating.iff	armor	arm_0
arm_corellian_advanced_durasteel	object/tangible/ship/components/armor/arm_corellian_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_advanced_durasteel.iff	armor	arm_0
arm_corellian_cheap_durasteel	object/tangible/ship/components/armor/arm_corellian_cheap_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_cheap_durasteel.iff	armor	arm_0
arm_corellian_elite_durasteel	object/tangible/ship/components/armor/arm_corellian_elite_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_elite_durasteel.iff	armor	arm_0
arm_corellian_enhanced_elite_plastisteel	object/tangible/ship/components/armor/arm_corellian_enhanced_elite_plastisteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_enhanced_elite_plastisteel.iff	armor	arm_0
arm_corellian_heavy_durasteel	object/tangible/ship/components/armor/arm_corellian_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_heavy_durasteel.iff	armor	arm_0
arm_corellian_improved_advanced_durasteel	object/tangible/ship/components/armor/arm_corellian_improved_advanced_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_improved_advanced_durasteel.iff	armor	arm_0
arm_corellian_light_durasteel	object/tangible/ship/components/armor/arm_corellian_light_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_light_durasteel.iff	armor	arm_0
arm_corellian_modified_heavy_durasteel	object/tangible/ship/components/armor/arm_corellian_modified_heavy_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_modified_heavy_durasteel.iff	armor	arm_0
arm_corellian_reinforced_light_durasteel	object/tangible/ship/components/armor/arm_corellian_reinforced_light_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_reinforced_light_durasteel.iff	armor	arm_0
arm_corellian_reinforced_supreme_durasteel	object/tangible/ship/components/armor/arm_corellian_reinforced_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_reinforced_supreme_durasteel.iff	armor	arm_0
arm_corellian_special_standard_durasteel	object/tangible/ship/components/armor/arm_corellian_special_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_special_standard_durasteel.iff	armor	arm_0
arm_corellian_standard_durasteel	object/tangible/ship/components/armor/arm_corellian_standard_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_standard_durasteel.iff	armor	arm_0
arm_corellian_supreme_durasteel	object/tangible/ship/components/armor/arm_corellian_supreme_durasteel.iff	object/tangible/ship/components/armor/shared_arm_corellian_supreme_durasteel.iff	armor	arm_0
arm_cygnus_light_weave	object/tangible/ship/components/armor/arm_cygnus_light_weave.iff	object/tangible/ship/components/armor/shared_arm_cygnus_light_weave.iff	armor	arm_0
arm_cygnus_standard_weave	object/tangible/ship/components/armor/arm_cygnus_standard_weave.iff	object/tangible/ship/components/armor/shared_arm_cygnus_standard_weave.iff	armor	arm_0
