component	engine	booster	weapon_0	weapon_1	weapon_2	weapon_3
s	s	s	s	s	s	s
bst_mk1		bwing_booster_s01:booster1				
bst_mk2		bwing_booster_s01:booster1				
bst_mk3		bwing_booster_s02:booster1				
bst_mk4		bwing_booster_s02:booster1				
bst_xwing_booster_s01		bwing_booster_s01:booster1				
eng_crafted_incom_fusialthrust	bwing_engine_s01:engine1					
eng_crafted_novaldex_eventhorizon	bwing_engine_s02:engine1					
eng_crafted_qualdex_kyromaster	bwing_engine_s02:engine1					
eng_incom_fusialthrust	bwing_engine_s01:engine1					
eng_novaldex_eventhorizon	bwing_engine_s02:engine1					
eng_qualdex_kyromaster	bwing_engine_s02:engine1					
wpn_advanced_blaster			bwing_weapon1_s05:weapon1	bwing_weapon2l_s05:weapon2l	bwing_weapon2r_s05:weapon2r1	bwing_weapon3_s05:weapon3
wpn_bwing_blaster			bwing_weapon1_s05:weapon1	bwing_weapon2l_s05:weapon2l	bwing_weapon2r_s05:weapon2r1	bwing_weapon3_s05:weapon3
wpn_crafted_incom_disruptor			bwing_weapon1_s01:weapon1	bwing_weapon2l_s01:weapon2l	bwing_weapon2r_s01:weapon2r1	bwing_weapon3_s01:weapon3
wpn_crafted_slayn_ioncannon			bwing_weapon1_s06:weapon1	bwing_weapon2l_s06:weapon2l	bwing_weapon2r_s06:weapon2r1	bwing_weapon3_s06:weapon3
wpn_crafted_subpro_tripleblaster			bwing_weapon1_s04:weapon1	bwing_weapon2l_s04:weapon2l	bwing_weapon2r_s04:weapon2r1	bwing_weapon3_s04:weapon3
wpn_heavy_blaster			bwing_weapon1_s05:weapon1	bwing_weapon2l_s05:weapon2l	bwing_weapon2r_s05:weapon2r1	bwing_weapon3_s05:weapon3
wpn_heavy_ioncannon			bwing_weapon1_s06:weapon1	bwing_weapon2l_s06:weapon2l	bwing_weapon2r_s06:weapon2r1	bwing_weapon3_s06:weapon3
wpn_incom_disruptor			bwing_weapon1_s01:weapon1	bwing_weapon2l_s01:weapon2l	bwing_weapon2r_s01:weapon2r1	bwing_weapon3_s01:weapon3
wpn_light_blaster			bwing_weapon1_s05:weapon1	bwing_weapon2l_s05:weapon2l	bwing_weapon2r_s05:weapon2r1	bwing_weapon3_s05:weapon3
wpn_light_disruptor			bwing_weapon1_s01:weapon1	bwing_weapon2l_s01:weapon2l	bwing_weapon2r_s01:weapon2r1	bwing_weapon3_s01:weapon3
wpn_light_ioncannon			bwing_weapon1_s06:weapon1	bwing_weapon2l_s06:weapon2l	bwing_weapon2r_s06:weapon2r1	bwing_weapon3_s06:weapon3
wpn_medium_blaster			bwing_weapon1_s05:weapon1	bwing_weapon2l_s05:weapon2l	bwing_weapon2r_s05:weapon2r1	bwing_weapon3_s05:weapon3
wpn_medium_disruptor			bwing_weapon1_s01:weapon1	bwing_weapon2l_s01:weapon2l	bwing_weapon2r_s01:weapon2r1	bwing_weapon3_s01:weapon3
wpn_medium_ioncannon			bwing_weapon1_s06:weapon1	bwing_weapon2l_s06:weapon2l	bwing_weapon2r_s06:weapon2r1	bwing_weapon3_s06:weapon3
wpn_slayn_ioncannon			bwing_weapon1_s06:weapon1	bwing_weapon2l_s06:weapon2l	bwing_weapon2r_s06:weapon2r1	bwing_weapon3_s06:weapon3
wpn_subpro_tripleblaster			bwing_weapon1_s04:weapon1	bwing_weapon2l_s04:weapon2l	bwing_weapon2r_s04:weapon2r1	bwing_weapon3_s04:weapon3

