component	weapon_0	weapon_1
s	s	s
wpn_advanced_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_armek_sw4	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_armek_sw7	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_borstel_rg9	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_corellian_1d	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_corellian_ag1g_laser	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_corellian_ag2g_quad_laser	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_crafted_incom_disruptor	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_crafted_slayn_ioncannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_crafted_subpro_tripleblaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_gyrhil_auto_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_gyrhil_r9x	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_heavy_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_heavy_ioncannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_incom_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_incom_disruptor	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_incom_quad_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_incom_shredder	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_light_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_light_disruptor	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_light_ioncannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_medium_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_medium_disruptor	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_medium_ioncannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_seinar_disruptor	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_seinar_ion_cannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_seinar_linked_cannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_seinar_ls1	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_seinar_ls72	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_slayn_ioncannon	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_subpro_tripleblaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_subpro_tripleblaster_mark2	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_taim_heavy_laser	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_taim_ix4	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_taim_kx5	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_taim_kx9	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_z95_basic	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2
wpn_z95_blaster	kessel_mine_turret_base:turretyaw1	kessel_mine_turret_base:turretyaw2

