component	engine	weapon_0	weapon_1
s	s	s	s
eng_crafted_incom_fusialthrust	decimator_engine_s01:engine1		
eng_crafted_novaldex_eventhorizon	decimator_engine_s01:engine1		
eng_crafted_qualdex_kyromaster	decimator_engine_s01:engine1		
eng_cygnus_hd7	decimator_engine_s01:engine1		
eng_damorian_rx7	decimator_engine_s01:engine1		
eng_incom_e16	decimator_engine_s01:engine1		
eng_incom_fusialthrust	decimator_engine_s01:engine1		
eng_koensayr_ionjet	decimator_engine_s01:engine1		
eng_kongar_defender	decimator_engine_s01:engine1		
eng_kuat_a9x	decimator_engine_s01:engine1		
eng_kuat_f31	decimator_engine_s01:engine1		
eng_kuat_tc40	decimator_engine_s01:engine1		
eng_mk1	decimator_engine_s01:engine1		
eng_mk2	decimator_engine_s01:engine1		
eng_mk3	decimator_engine_s01:engine1		
eng_mk4	decimator_engine_s01:engine1		
eng_mk5	decimator_engine_s01:engine1		
eng_novaldex_eventhorizon	decimator_engine_s01:engine1		
eng_novaldex_singularity	decimator_engine_s01:engine1		
eng_novaldex_x12	decimator_engine_s01:engine1		
eng_nubian_221	decimator_engine_s01:engine1		
eng_nubian_221_racing_mod	decimator_engine_s01:engine1		
eng_qualdex_a10	decimator_engine_s01:engine1		
eng_qualdex_igt	decimator_engine_s01:engine1		
eng_qualdex_kyromaster	decimator_engine_s01:engine1		
eng_seinar_ps56	decimator_engine_s01:engine1		
eng_surronian_a2	decimator_engine_s01:engine1		
eng_surronian_a25	decimator_engine_s01:engine1		
eng_ubrikkian_n2	decimator_engine_s01:engine1		
wpn_armek_sw4		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_armek_sw7		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_awing_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_borstel_rg9		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_corellian_1d		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_corellian_ag1g_laser		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_corellian_ag2g_quad_laser		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_crafted_incom_disruptor		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_crafted_slayn_ioncannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_crafted_subpro_tripleblaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_gyrhil_auto_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_gyrhil_r9x		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_heavy_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_heavy_ioncannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_disruptor		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_proton_missile_s01		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_quad_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_seismic_missile_s01		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_incom_shredder		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_light_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_light_disruptor		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_light_ioncannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_medium_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_medium_disruptor		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_medium_ioncannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_concussion_missile_s01		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_disruptor		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_ion_cannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_linked_cannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_ls1		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_seinar_ls72		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_sienar_heatseeker_missile_s01		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_slayn_imagerec_missile_s01		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_slayn_ioncannon		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_subpro_tripleblaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_subpro_tripleblaster_mark2		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_taim_heavy_laser		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_taim_ix4		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_taim_kx5		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_taim_kx9		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_tieadvanced_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2
wpn_z95_blaster		decimator_turret_base:turretyaw1	decimator_turret_base:turretyaw2

