component	engine	weapon_0
s	s	s
eng_crafted_incom_fusialthrust	awing_engine_s01:engine1	
eng_crafted_novaldex_eventhorizon	awing_engine_s01:engine1	
eng_crafted_qualdex_kyromaster	awing_engine_s01:engine1	
eng_incom_fusialthrust	awing_engine_s01:engine1	
eng_novaldex_eventhorizon	awing_engine_s01:engine1	
eng_qualdex_kyromaster	awing_engine_s01:engine1	
wpn_awing_blaster		awing_weapon_s01:weapon1
wpn_crafted_incom_disruptor		awing_weapon_s01:weapon1
wpn_crafted_slayn_ioncannon		awing_weapon_s01:weapon1
wpn_crafted_subpro_tripleblaster		awing_weapon_s01:weapon1
wpn_incom_disruptor		awing_weapon_s01:weapon1
wpn_slayn_ioncannon		awing_weapon_s01:weapon1
wpn_subpro_tripleblaster		awing_weapon_s01:weapon1
