component	engine	weapon_0	weapon_1
s	s	s	s
eng_crafted_incom_fusialthrust	tie_engine_s01:		
eng_crafted_novaldex_eventhorizon	tie_engine_s01:		
eng_crafted_qualdex_kyromaster	tie_engine_s01:		
eng_cygnus_hd7	tie_engine_s01:		
eng_damorian_rx7	tie_engine_s01:		
eng_incom_e16	tie_engine_s01:		
eng_incom_fusialthrust	tie_engine_s01:		
eng_koensayr_ionjet	tie_engine_s01:		
eng_kongar_defender	tie_engine_s01:		
eng_kuat_a9x	tie_engine_s01:		
eng_kuat_f31	tie_engine_s01:		
eng_kuat_tc40	tie_engine_s01:		
eng_mk1	tie_engine_s01:		
eng_mk2	tie_engine_s01:		
eng_mk3	tie_engine_s01:		
eng_mk4	tie_engine_s01:		
eng_mk5	tie_engine_s01:		
eng_novaldex_eventhorizon	tie_engine_s01:		
eng_novaldex_singularity	tie_engine_s01:		
eng_novaldex_x12	tie_engine_s01:		
eng_nubian_221	tie_engine_s01:		
eng_nubian_221_racing_mod	tie_engine_s01:		
eng_qualdex_a10	tie_engine_s01:		
eng_qualdex_igt	tie_engine_s01:		
eng_qualdex_kyromaster	tie_engine_s01:		
eng_seinar_ps56	tie_engine_s01:		
eng_surronian_a2	tie_engine_s01:		
eng_surronian_a25	tie_engine_s01:		
eng_ubrikkian_n2	tie_engine_s01:		
wpn_incom_disruptor		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_slayn_ioncannon		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_subpro_tripleblaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
wpn_tieadvanced_blaster		aggressor_weapon_s02:weapon1	aggressor_weapon_s01:turretyaw1
