tier1	tier2	tier3	tier4	internalAttribute	minValueBeginSlotId	minValueEndSlotId	maxValueBeginSlotId	maxValueEndSlotId	minValue	maxValue	defaultMatchCondition	Comments
s	s	s	s	b[0]	i[-1]	i[-1]	i[-1]	i[-1]	i[-1]	i[-1]	"e(NA=0,Any=1,AnyOnly=2,All=3,AllOnly=4)[NA]"	c
character												slotId must start with 0
	faction										AnyOnly	slotId must be contiguous with no holes and no dupes
		imperial		1	14							they don't have to appear in contiguous order but the assignment of slotId
		neutral		1	15							to new slots must be done contiguously
		rebel		1	16							
	gender										AnyOnly	"***DO NOT*** change an existing name value in the tier1, tier2, tier3, and tier4 columns,"
		female		1	17							"as there are external references to these names either in code, script, persisted files,"
		male		1	18							and/or datatable
	level			1	0	6	7	13	1	90		
	friend			1	107							the order that things appear here is the order things will be displayed in the UI
	cts_source_galaxy			1	126							
	in_same_guild			1	129							
	citizen_of_same_city			1	130							
	pilot										AnyOnly	
		pilot_neutral		1	19							"tier1, tier2, tier3, and tier4 string values must be unique"
		pilot_imperial		1	20							define the display string for them in data/sku.0/sys.client/built/game/string/en/lfg_n.stf
		pilot_rebel		1	21							define the display string for their tooltip (if any) in data/sku.0/sys.client/built/game/string/en/lfg_d.stf
	profession										AnyOnly	
		prof_bh		1	22							internalAttribute specifies that the attribute corresponds to a character attribute
		prof_commando		1	23							which will need special processing in code to check the character to see if the
		prof_entertainer		1	24							character satisfies the attribute
		prof_jedi		1	25							
		prof_medic		1	26							
		prof_officer		1	27							
		prof_smuggler		1	28							
		prof_spy		1	29							
		prof_trader_domestics		1	30							
		prof_trader_engineering		1	31							
		prof_trader_munitions		1	32							
		prof_trader_structures		1	33							
	species										AnyOnly
		bothan		1	34						
		human		1	35						
		ithorian		1	36						
		mon_calamari		1	37						
		rodian		1	38						
		sullustan		1	39						
		trandoshan		1	40						
		twilek		1	41						
		wookiee		1	42						
		zabrak		1	43						
general					99						All
	lfg				77						
	helper				44						
	rp				68						
	lfw				131						
	buffer				125						
combat											
	combat_group_role				100						Any
		combat_tank			45						
		combat_dps			46						
		combat_healer			47						
	combat_planet				101						Any
		combat_corellia			48						
		combat_dantooine			49						
		combat_dathomir			50						
		combat_endor			51						
		combat_kashyyyk			52						
		combat_lok			53						
		combat_mustafar			54						
		combat_naboo			55						
		combat_rori			56						
		combat_talus			57						
		combat_tatooine			58						
		combat_yavin			59						
	purpose				102						Any
		purpose_collections			60						
		purpose_credits			61						
		purpose_dungeons			62						
		purpose_level			63						
		purpose_missions			64						
		purpose_pvp			65						
		purpose_imperial_theme			117						
		purpose_jabba_theme			118						
		purpose_rebel_theme			119						
		purpose_meatlump_theme			116						
	space				103						Any
		space_non_pvp			66						
		space_pvp			67						
instance											
	instance_group_role				104						Any
		heroic_tank			69						
		heroic_dps			70						
		heroic_healer			71						
	heroic				105						Any
		star_destroyer			72						
		axkva_min			73						
		ig88			74						
		tusken			75						
		exar_kun			76						
		echo_base_imperial			127						
		echo_base_rebel			128						
	mustafar				108						Any
		sher_kar			109						
		droid_factory			110						
		old_research_facility			111						
		kubaza_beetle			112						
		koseyet_mining_camp			113						
		operational_mining_facility			114						
		volcano_crater			115						
	other				120						Any
		corellian_corvette			121						
		death_watch_bunker			122						
		geonosian_bio_labs			123						
		warren			124						
social					106						Any
	cantina_crawl				78						
	crafting										
		domestic			79						
		engineering			80						
		munitions			81
		structures			82
	fishing				83
	harvesting				84
	social_planet				
		social_corellia			85
		social_dantooine			86
		social_dathomir			87
		social_endor			88
		social_kashyyyk			89
		social_lok			90
		social_mustafar			91
		social_naboo			92
		social_rori			93
		social_talus			94
		social_tatooine			95
		social_yavin			96
	roleplay_event				
		rpe_non_combat			97
		rpe_combat			98
