creatureName	BaseLevel	Damagelevelmodifier	StatLevelModifier	ToHitLevelModifier	ArmorLevelModifier	difficultyClass	stealingFlags	notes	where	socialGroup	pvpFaction	isSpecialForces	template	minScale	maxScale	hue	minDrainModifier	maxDrainModifier	minFaucetModifier	maxFaucetModifier	armorKinetic	armorEnergy	armorBlast	armorHeat	armorCold	armorElectric	armorAcid	armorStun	attackSpeed	hasResources	milkType	meat	meatType	hide	hideType	bone	boneType	rare	rareType	geneProfile	minCash	maxCash	intLootRolls	intRollPercent	lootTable	lootList	collectionRoll	collectionLoot	col_faction	chronicleLootChance	chronicleLootCategory	canTame	wildAbilityList	niche	invulnerable	rootImmune	snareImmune	stunImmune	mezImmune	canNotPunish	tauntImmune	ignorePlayer	skillmods	objvars	scripts	clothesList	utterance	diction	canOfferMission	movement_speed	primary_weapon	primary_weapon_speed	secondary_weapon	secondary_weapon_speed	primary_weapon_specials	secondary_weapon_specials	aggressive	assist	stalker	herd	death_blow
s[required]	i[0]	i[0]	i[0]	i[0]	i[0]	"e(NORMAL=0,ELITE=1,BOSS=2)[NORMAL]"	"e(NOTHING=0,CREDITS=1,MOB_LOOT=2,STEALING_TABLE=16,CREDITS_N_MOBLOOT=3)[CREDITS_N_MOBLOOT]"	c	s	s[required]	s	i[0]	s[required]	f[1]	f[1]	i	f[0.0007]	f[1]	f[0.0007]	f[1.0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i	b[0]	s[none]	i[-1]	s[none]	i[-1]	s[none]	i[-1]	s[none]	i[-1]	s[none]	s[none]	i[-1]	i[-1]	i[2]	i[20]	s	s[none]	i[5]	s[no_loot]	s	i[10]	s[no_loot]	f[0.0]	s[none]	"e(none=0,pc=1,ai=2,droid=3,vehicle=4,npc=5,monster=6,herbivore=7,carnivore=8,predator=9,android=10)[monster]"	b[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	s	s	s[none]	s[none]	s[none]	i[0]	f[1.6]	s[unarmed]	f[2.0]	s[none]	f[2.0]	s	s	f[0.0]	f[2]	b[0]	b[0]	"e(no=0,yes=1,instant=2)[no]"
aakuan_anarchist	53	0	0	0	0	NORMAL			talus	aakuans	aakuans		aakuan_hard	1.2	1.5	0					30	30	0	0	-1	-1	0	-1	2																npc/npc_51_60	generic_npc_6		"housing_improvement_03,col_aurebesh_tiles,col_shattered_shard_04,col_glass_shelving_01"		18	aakuan			npc													noble				general_polearm		none		melee_5	melee_5	0	6			yes
aakuan_assassin	53	0	0	0	-2	NORMAL			talus	aakuans	aakuans		aakuan_hard	1	1.3	0					40	40	0	0	0	-1	0	0	2																npc/npc_51_60	generic_npc_6		"housing_improvement_03,col_aurebesh_tiles,col_shattered_shard_04,col_glass_shelving_01"		18	aakuan			npc													noble				general_sword		none		melee_5	melee_5	0	6			yes
aakuan_champion	53	0	0	0	0	NORMAL			talus	aakuans	aakuans		aakuan_hard	0.8	1.2	0					30	30	0	0	-1	-1	0	-1	2																npc/npc_51_60	generic_npc_6		"housing_improvement_03,col_aurebesh_tiles,col_shattered_shard_04,col_glass_shelving_01"		18	aakuan			npc													noble				general_sword		none		melee_5	melee_5	0	6			yes
aakuan_defender	47	0	0	0	0	NORMAL			talus	aakuans	aakuans		aakuan_hard	0.8	1.2	0					35	35	-1	0	0	-1	0	-1	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_04"		18	aakuan			npc													police	fancy			general_polearm		none		melee_4	melee_4	0	6			yes
aakuan_follower	39	0	0	0	0	NORMAL			talus	aakuans	aakuans		aakuan_easy	0.8	1.2	0					0	0	0	0	0	0	0	-1	2																npc/npc_31_40	generic_npc_4		"housing_improvement_01,col_aurebesh_tiles,col_shattered_shard_01"		18	aakuan			npc														townperson			general_polearm		none		melee_3	melee_3	0	2			
aakuan_guardian	48	0	-2	0	-3	NORMAL			talus	aakuans	aakuans		aakuan_hard	0.8	1.2	0					30	30	0	0	0	0	0	0	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_04"		18	aakuan			npc																	general_polearm		none		melee_4	melee_4	0	6			yes
aakuan_keeper	42	0	1	0	0	NORMAL			talus	aakuans	aakuans		aakuan_easy	0.8	1.2	0					0	0	0	0	0	0	0	-1	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_01"		18	aakuan			npc													police	fancy			general_polearm		none		melee_4	melee_4	0	6			yes
aakuan_sentinal	45	0	2	0	0	NORMAL			talus	aakuans	aakuans		aakuan_easy	0.8	1.2	0					0	0	0	0	0	0	0	0	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_01"		18	aakuan			npc														fancy			general_sword		none		melee_4	melee_4	0	6			yes
aakuan_spice_guard	48	0	0	0	-1	NORMAL			talus	aakuans	aakuans		aakuan_hard	0.8	1.2	0					30	30	-1	0	0	-1	0	-1	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_04"		18	aakuan			npc													noble				general_sword		none		melee_4	melee_4	0	6			yes
aakuan_steward	43	0	0	0	0	NORMAL			talus	aakuans	aakuans		aakuan_easy	0.8	1.2	0					0	0	0	0	0	0	0	0	2																npc/npc_41_50	generic_npc_5		"housing_improvement_02,col_aurebesh_tiles,col_shattered_shard_01"		18	aakuan			npc													noble	fancy	1		general_polearm		none		melee_4	melee_4	0	6			yes
aakuan_warder	52	0	0	0	-2	NORMAL			talus	aakuans	aakuans		aakuan_hard	0.8	1.2	0					30	30	0	0	0	-1	0	0	2																npc/npc_51_60	generic_npc_6		"housing_improvement_03,col_aurebesh_tiles,col_shattered_shard_04,col_glass_shelving_01"		18	aakuan			npc													noble	fancy	1		general_polearm		none		melee_5	melee_5	0	6			yes
aaph_koden	8	0	0	0	0	NORMAL			tatooine	townsperson			dressed_tatooine_aaph_koden.iff	0.85	0.85	0					0	0	0	0	10	0	0	-1	2																npc/npc_1_10	generic_npc_1								npc	1										npc.static_npc.aaph_koden						pirate_carbine_low_level		none				0	2			
abandoned_rebel_private	61	0	0	0	0	NORMAL			dantooine	rebel	Rebel		rebel_trooper			0					30	30	40	40	-1	40	-1	-1	2																npc/npc_61_70	generic_npc_7		"col_story_count_dooku_set_1,col_story_count_dooku_set_2,col_aurebesh_tiles,col_shattered_shard_03,col_glass_shelving_02"						npc																	rebel_carbine		rebel_pistol		officer_6	officer_6	0	12			yes
ackbar	100	0	0	0	0	NORMAL				rebel	Rebel		admiral_ackbar.iff	0.9	0.9	0					0	0	0	0	0	0	0	0	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc	1									int:celebrity=1	npc.celebrity.ackbar										commoner_10	commoner_10	0	2			
adar	100	0	0	0	0	NORMAL				rebel	Rebel		dressed_corvette_rebel_adar.iff	1	1	0					0	0	0	0	0	0	0	0	2																npc/npc_81_90	generic_npc_9		"housing_improvement_01,housing_improvement_02,housing_improvement_03,housing_improvement_04,housing_improvement_05,col_story_count_dooku_set_3,col_aurebesh_tiles"						npc	1																				commoner_10	commoner_10	0	2			
