enemy	bark_attack	bark_defeat	Comments
s	s	s	c
forage_thief	thief	thief_defeat	These guys steal a slot
forage_criminal	criminal	criminal_defeat	These guys steal a slot
forage_scavenger	scavenger	scavenger_defeat	These guys steal a slot
savage_forage_worm			Worm
angry_forage_worm			Worm
territorial_forage_worm			Worm
hungry_forage_worm			Worm
oozing_forage_worm			Worm
ferocious_forage_worm			Worm
carnivorous_forage_worm			Worm
aggravated_forage_worm			Worm
brutal_forage_worm			Worm
fierce_forage_worm			Worm
