Object Template	Command	Comment
s	s	c
item_tcg_loot_reward_series1_video_game_table	ITEM_USE	"by default, only the owner of an object can invoke radial menu actions on the object"
item_tcg_loot_reward_series4_video_game_table_02_01	SERVER_MENU1	
item_tcg_loot_reward_series4_stuffed_tauntaun_02_01	ITEM_USE	this table allows you to specify that certain object can have certain radial menu actions
item_tcg_loot_reward_series4_stuffed_wampa_02_01	ITEM_USE	"invoked on it by non-owners of the object, like to allow others to activate the play radial"
item_tcg_loot_reward_series4_tauntaun_ride_02_01	ITEM_USE	menu action on the arcade game so that anyone can play the arcade game
item_tcg_loot_reward_series5_atat_head_itv	SERVER_MENU9	
item_tcg_loot_reward_series6_cloud_car_itv	SERVER_MENU9	specify the object template or static name of the item and the radial menu action
col_mail_opt_in_2_02	ITEM_USE	you want to allow non-owners to invoke
col_mail_opt_in_3_02	ITEM_USE	
item_facebook_reward_01	ITEM_USE	the radial menu action string comes from the caption column in radial_menu.tab
item_vet_reward_78month_ttgm_itt	ITEM_USE	
item_facebook_reward_02	ITEM_USE	"if you want to specify multiple radial menu actions, use multiple lines, one for each action"
