camp_names	locs_x	locs_y	locs_z
s	f	f	f
alpha	5939	122	-2030
beta	5313	135	-1145
gamma	4072	127	-1402
delta	3456	150	-1258
epsilon	2960	150	45
zeta	3041	138	787
eta	1073	121	1860
theta	642	136	732
iota	-53	119	-165
kappa	-376	128	-1856
lamda	-1022	125	-2932
mu	-392	40	-6004
nu	-737	105	-5158
xi	-1663	92	-4690
omikron	-2850	94	-2366
pi	-3824	94	-3011
rho	-3961	89	-2606
sigma	-2932	129	738
tau	-3113	124	1171
ypsylon	-1676	140	1651
phy	-1977	127	2234
chi	-1092	119	2343
psi	-410	120	2506
omega	1369	134	1217
zed	3076	126	2174
