phase	phase_name	object_template	object_x	object_y	object_z	heading	is_coord_delta	game_critical	script	special_obj_mod	script_comment	special_mod_comment
i	s	s	f	f	f	f	i	i	s	s	c	c
1	restoration	START_LOC									multiple scripts can be attached	healing = healing can take place in this building
		fs_villager_elder	5298.78	78.5	-4173.89	24			conversation.village_elder_1	spawner		
		whip	5283.66	78.5	-4226.31	-143			conversation.village_whip	spawner		
		quharek	5373.67	78.5	-4181.38	-69			conversation.village_quharek	spawner		
		fs_villager_captain	5313.91	78.5	-4161.52	-72			conversation.fs_patrol_quest_start	spawner		
		fs_surgical_droid_21b	5392.06	78.5	-4072.46	101			conversation.fs_medic_puzzle_sick01	spawner		
		fs_surgical_droid_21b	5396.42	78.5	-4074.68	-104			conversation.fs_medic_puzzle_sick01	spawner		
		fs_villager_medic	5391.52	78.5	-4075.73	-110			conversation.fs_medic_puzzle_head_medic	spawner		
		fs_villager_generic	5391.82	78.5	-4074.57	-106			systems.fs_quest.fs_village_puking	spawner		
		fs_villager_generic	5388.49	78.5	-4076.51	-119			systems.fs_quest.fs_village_puking	spawner		
		fs_villager_wounded	5388.34	78.5	-4074.94	131			systems.fs_quest.fs_village_wounded	spawner		
		fs_villager_wounded	5394.1	78.5	-4073.21	-130			systems.fs_quest.fs_village_wounded	spawner		
		fs_villager_wounded	5395.07	78.5	-4077.37	-35			systems.fs_quest.fs_village_wounded	spawner		
		fs_villager_wounded	5392.89	78.5	-4079.14	-43			systems.fs_quest.fs_village_wounded	spawner		
		fs_surgical_droid_21b	5158.11	78.5	-4116.02	-30			conversation.fs_medic_puzzle_sick01	spawner
		fs_villager_generic	5159.35	78.5	-4110.77	147			systems.fs_quest.fs_village_puking	spawner
		fs_villager_wounded	5155.24	78.5	-4116.26	12			systems.fs_quest.fs_village_wounded	spawner
		fs_villager_wounded	5156.98	78.5	-4109.69	-167			systems.fs_quest.fs_village_wounded	spawner
		fs_villager_farmer	5291.31	78.5	-4037.8	164			conversation.padawan_pannaqa_01	spawner
		fs_villager_male	5346.72	78.5	-4062.15	-46			conversation.fs_village_convo6_m	spawner
		fs_villager_female	5227.28	78.5	-4065.5	-101			conversation.fs_village_convo4_f	spawner
		fs_villager_generic	5176.86	78.5	-4113.32	-138			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5173.52	78.5	-4117.46	36			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5217.97	78.5	-4190.53	88			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5255.21	78.5	-4225.29	-102			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5322.34	78.5	-4205.59	-95			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5341.41	78.5	-4210.16	-65			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5397.85	78.5	-4198.01	-82			systems.fs_quest.fs_village_panicked	spawner
		fs_villager_generic	5393.92	78.5	-4132.5	-1			systems.fs_quest.fs_village_panicked	spawner
