template	x	y	z	heading	scene	script
h	f	f[0]	f	f[0]	s	s
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	5.96	1.35	7.72	0		
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	-6.06	1.35	7.71	0		
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	-2	1.35	7.68	0		
object/static/structure/corellia/corl_banner_govt_tall_s01.iff	1.98	1.35	7.73	0		
object/mobile/dressed_corsec_officer_human_male_01.iff	5.77	1.35	5.49	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	1.9	1.35	5.44	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	-3.98	1.35	5.41	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	0.01	1.35	5.39	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	-6.01	1.35	5.49	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	-2.16	1.35	5.43	178.99		systems.event_perk.invulnerable
object/mobile/dressed_corsec_officer_human_male_01.iff	3.75	1.35	5.49	178.99		systems.event_perk.invulnerable
object/building/endor/endor_lake_platform.iff	-0.03	1.16	0	0		systems.event_perk.invulnerable
object/tangible/microphone/microphone.iff	-0.03	1.32	-6.52	178.99		
object/tangible/speaker/speaker.iff	-7.41	1.32	-7.6	178.99		
object/tangible/speaker/speaker.iff	7.35	1.32	-7.63	178.99
