template	x	y	z	heading	scene	script
h	f	f[0]	f	f[0]	s	s
object/static/structure/endor/endr_imprv_flagpole_s01.iff	10		0			
object/static/structure/corellia/corl_imprv_flagpole_s01.iff	8.09		5.87			
object/static/structure/dantooine/dant_imprv_flagpole_s01.iff	3.09		9.51			
object/static/structure/dathomir/dath_imprv_flagpole_s01.iff	-3.08		9.51			
object/static/structure/lok/lok_imprv_flagpole_s01.iff	-8.09		5.87			
object/static/structure/naboo/nboo_imprv_flagpole_s01.iff	-10		0			
object/static/structure/rori/rori_imprv_flagpole_s01.iff	-8.09		-5.87			
object/static/structure/talus/talus_imprv_flagpole_s01.iff	-3.09		-9.51			
object/static/structure/tatooine/tato_imprv_flagpole_s01.iff	3.09		-9.51			
object/static/structure/yavin/yavn_imprv_flagpole_s01.iff	8.09		-5.87			
