template	x	y	z	heading	scene	script
h	f	f[0]	f	f[0]	s	s
object/static/structure/corellia/corl_imprv_column_s02.iff	-8.05763	-0.000320435	0.924218	46.9825		
object/static/structure/corellia/corl_imprv_column_s02.iff	-0.291943	-0.000320435	7.55653	40.68		
object/static/structure/corellia/corl_imprv_column_s02.iff	0.750796	-0.000320435	-11.4897	0		
object/static/structure/corellia/corl_imprv_column_s02.iff	11.9121	-0.000320435	-1.25476	-92.2462		
object/static/structure/corellia/corl_imprv_column_s02.iff	-9.4742	0.00483704	-0.335377	47.5555		
object/static/structure/corellia/corl_imprv_column_s02.iff	1.11293	-0.000320435	8.95552	-136.937		
object/static/structure/corellia/corl_imprv_gate_sm_s01.iff	-4.22084	-0.000320435	4.09106	-45.2636		
object/static/structure/corellia/corl_imprv_wall_4x16_s03.iff	-4.58386	-0.00228882	-5.84103	47.5555		
object/static/structure/corellia/corl_imprv_wall_4x16_s03.iff	6.4975	-0.000320435	3.82755	42.9718		
object/static/structure/corellia/corl_imprv_wall_4x16_s03.iff	6.35514	-0.000320435	-6.43399	-42.9718		
