template	x	y	z	heading	scene	script
h	f	f[0]	f	f[0]	s	s
object/static/structure/general/banner_imperial_style_01.iff	-3.89		11.13	0		
object/static/structure/general/banner_imperial_style_01.iff	10.34		11.35	0		
object/mobile/dressed_stormtrooper_m.iff	0.01		18.61	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	-1.75		16.25	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	4.13		16.87	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	6		19	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	4		18.87	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	-1.75		18.25	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	6.13		17	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	2.01		18.74	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	2		16.5	0		systems.event_perk.invulnerable
object/mobile/dressed_stormtrooper_m.iff	0.14		16.61	0		systems.event_perk.invulnerable
object/mobile/dressed_tie_fighter_m.iff	10.48		-5.67	-84.65		systems.event_perk.invulnerable
object/static/vehicle/static_lambda_shuttle.iff	2.84		-1.76	0		
