template	x	y	z	heading	scene	script
h	f	f[0]	f	f[0]	s	s
object/static/structure/general/gravestone_generic_style_01.iff	-1.49512	0	-2.69574	0		
object/static/structure/general/gravestone_generic_style_01.iff	-2.78826	0	-2.70238	0		
object/static/structure/general/gravestone_generic_style_01.iff	-2.79209	0	2.65106	0		
object/static/structure/general/gravestone_generic_style_02.iff	-0.108484	0	-2.68644	0		
object/static/structure/general/gravestone_generic_style_02.iff	-1.32351	0	2.63467	0		
object/static/structure/general/gravestone_generic_style_02.iff	-0.0559683	0	2.63992	0		
object/static/structure/general/gravestone_generic_style_03.iff	2.79994	0	2.78815	0		
object/static/structure/general/gravestone_generic_style_03.iff	1.31516	0	-2.71151	0		
object/static/structure/general/gravestone_generic_style_03.iff	1.32775	0	2.71305	0		
object/static/structure/general/gravestone_generic_style_04.iff	1.47695	0	-0.0208994	0		
object/static/structure/general/gravestone_generic_style_04.iff	-1.43437	0	0.0546517	0		
object/static/structure/general/gravestone_generic_style_04.iff	-2.78526	0	0.136556	0		
object/static/structure/general/gravestone_generic_style_04.iff	2.81491	0	0.00930679	0		
object/static/structure/general/gravestone_generic_style_05.iff	0.0347804	0	-0.0813145	0		
object/static/structure/general/gravestone_generic_style_05.iff	3.01355	0	-2.72907	0
