Rebel	Imperial
s	s
network_leader	specialist_noncom
area_coordinator	specialist_noncom
specforce_procurement_specialist	imperial_noncom
rebel_corporal	comm_operator
rebel_lance_corporal	bombardier
rebel_scout	command_security_guard
rebel_scout_female	detention_security_guard
rebel_trooper	gunner
rebel_medic	imperial_lance_corporal
rebel_sergeant	imperial_private
rebel_staff_corporal	imperial_trooper
rebel_staff_sergeant	signalman
rebel_warrant_officer_ii	imperial_corporal
specforce_interrogator	imperial_medic
rebel_master_sergeant	imperial_sergeant
rebel_sergeant_major	lance_bombardier
specops_trooper	special_missions_engineer
rebel_specforce_guerrilla	imperial_sharpshooter
rebel_specforce_pathfinder	imperial_staff_corporal
rebel_warrant_officer_i	imperial_staff_sergeant
specforce_heavy_weapons_specialist	imperial_master_sergeant
specforce_infiltrator	imperial_warrant_officer_ii
specforce_marine	imperial_sergeant_major
specforce_technician	imperial_warrant_officer_i
specforce_wilderness_operative	imperial_first_lieutenant
rebel_commando	imperial_pilot
rebel_first_lieutenant	imperial_second_lieutenant
senior_specforce_guerrilla	compforce_trooper
senior_specforce_heavy_weapons_specialist	imperial_army_captain
senior_specforce_infiltrator	imperial_major
rebel_commando	imperial_lieutenant_colonel
senior_specforce_pathfinder	imperial_colonel
senior_specforce_technician	scout_trooper
senior_specforce_wilderness_trooper	high_colonel
rebel_army_captain	veteran_compforce_trooper
rebel_specforce_sergeant	imperial_brigadier_general
alliance_intelligence_case_officer	sand_trooper
rebel_major	stormtrooper
specforce_master_sergeant	stormtrooper_bombardier
rebel_lieutenant_colonel	stormtrooper_medic
specforce_lieutenant	stormtrooper_rifleman
rebel_colonel	stormtrooper_sniper
senior_specforce_lieutenant	imperial_veermok
specops_agent	swamp_trooper
rebel_brigadier_general	assault_trooper
rebel_specforce_captain	imperial_major_general
rebel_major_general	imperial_lieutenant_general
specforce_major	stormtrooper_squad_leader
stranded_rebel_officer	imperial_general
rebel_lieutenant_general	imperial_moff
rebel_commando	imperial_exterminator
specops_alliance_free_agent	imperial_high_general
rebel_general	storm_commando
rebel_specforce_general	stormtrooper_dewback
rebel_high_general	imperial_surface_marshal
rebel_surface_marshal	dark_trooper
rebel_commando	at_st
