Imperial	Rebel
s	s
specialist_noncom	area_coordinator
imperial_noncom	specforce_procurement_specialist
comm_operator	rebel_corporal
bombardier	rebel_lance_corporal
command_security_guard	rebel_scout
detention_security_guard	rebel_scout_female
gunner	rebel_trooper
imperial_lance_corporal	rebel_medic
imperial_private	rebel_sergeant
imperial_trooper	rebel_staff_corporal
signalman	rebel_staff_sergeant
imperial_corporal	rebel_warrant_officer_ii
imperial_medic	specforce_interrogator
imperial_sergeant	rebel_master_sergeant
lance_bombardier	rebel_sergeant_major
special_missions_engineer	specops_trooper
imperial_sharpshooter	rebel_specforce_guerrilla
imperial_staff_corporal	rebel_specforce_pathfinder
imperial_staff_sergeant	rebel_warrant_officer_i
imperial_master_sergeant	specforce_heavy_weapons_specialist
imperial_warrant_officer_ii	specforce_infiltrator
imperial_sergeant_major	specforce_marine
imperial_warrant_officer_i	specforce_technician
imperial_first_lieutenant	specforce_wilderness_operative
imperial_pilot	rebel_commando
imperial_second_lieutenant	rebel_first_lieutenant
compforce_trooper	senior_specforce_guerrilla
imperial_army_captain	senior_specforce_heavy_weapons_specialist
imperial_major	senior_specforce_infiltrator
imperial_lieutenant_colonel	rebel_commando
imperial_colonel	senior_specforce_pathfinder
scout_trooper	senior_specforce_technician
high_colonel	senior_specforce_wilderness_trooper
veteran_compforce_trooper	rebel_army_captain
imperial_brigadier_general	rebel_specforce_sergeant
sand_trooper	alliance_intelligence_case_officer
stormtrooper	rebel_major
stormtrooper_bombardier	specforce_master_sergeant
stormtrooper_medic	rebel_lieutenant_colonel
stormtrooper_rifleman	specforce_lieutenant
stormtrooper_sniper	rebel_colonel
imperial_veermok	senior_specforce_lieutenant
swamp_trooper	specops_agent
assault_trooper	rebel_brigadier_general
imperial_major_general	rebel_specforce_captain
imperial_lieutenant_general	rebel_major_general
stormtrooper_squad_leader	specforce_major
imperial_general	stranded_rebel_officer
imperial_moff	rebel_lieutenant_general
imperial_exterminator	rebel_commando
imperial_high_general	specops_alliance_free_agent
storm_commando	rebel_general
stormtrooper_dewback	rebel_specforce_general
imperial_surface_marshal	rebel_high_general
dark_trooper	rebel_surface_marshal
at_st	rebel_commando
