tatooine	bestine	naboo	corellia	rori	talus	endor	@endor_region_names:ewok_village_tree_1	@endor_region_names:ewok_village_tree_2	@endor_region_names:ewok_lake_village_1	@endor_region_names:ewok_lake_village_2	@endor_region_names:dulok_village_1	@endor_region_names:dulok_village_2	@endor_region_names:endor_smuggler_outpost	dathomir	dathomir_imperial_prison	@dathomir_region_names:nightsister_clan	dathomir_singing_mtn_clan_city1	dathomir_singing_mtn_clan_city2	dathomir_singing_mtn_clan_city3	dathomir_singing_mtn_clan_witch_city	dantooine	@dantooine_region_names:dantari_village_1	@dantooine_region_names:dantari_village_2	@dantooine_region_names:dantari_village_3	dantooine_pirate_outpost	dantooine_mining_outpost	yavin4	lok	lok_nyms_stronghold
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
commoner	noble	commoner	commoner	commoner	commoner	businessman	panshee_worker	panshee_worker	gondula_worker	gondula_worker	pubam_scout	korga_laborer	wastrel	businessman	dathomir_prisoner	nightsister_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	businessman	janta_tribesman	kunga_tribesman	mokk_tribesman	pirate_crewman	explorer	businessman	explorer	nym_pirate_weak
commoner	official	businessman	businessman	businessman	businessman	explorer	panshee_worker	panshee_worker	gondula_worker	gondula_worker	pubam_scout	korga_laborer	wastrel	explorer	dathomir_prisoner	nightsister_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	singing_mtn_clan_slave	explorer	janta_tribesman	kunga_tribesman	mokk_tribesman	pirate_crewman	scientist	explorer	scientist	nym_pirate_weak
commoner	businessman	farmer	farmer	farmer	farmer	gambler	panshee_worker	panshee_worker	gondula_worker	gondula_worker	pubam_scout	korga_laborer	thug	gambler		nightsister_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	gambler	janta_herbalist	kunga_herbalist	mokk_herbalist	pirate_crewman	scientist	scientist	scientist	nym_pirate_strong
commoner	imperial_noncom	explorer	explorer	explorer	explorer	scientist	panshee_tribesman	panshee_tribesman	gondula_tribesman	gondula_tribesman	pubam_scout	korga_laborer	thug	scientist		nightsister_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	scientist	janta_herbalist	kunga_herbalist	mokk_herbalist	pirate_squab	miner	scientist	miner	nym_pirate_strong
commoner	imperial_noncom	gambler	gambler	gambler	gambler	scientist	panshee_tribesman	panshee_tribesman	gondula_tribesman	gondula_tribesman	pubam_tribesman	korga_laborer	thug	scientist		nightsister_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_arch_witch	scientist	janta_herbalist	kunga_herbalist	mokk_herbalist	pirate_squab	miner	miner	miner	nym_pirate_strong
farmer	imperial_noncom	miner	miner	miner	miner	miner	panshee_tribesman	panshee_tribesman	gondula_tribesman	gondula_tribesman	pubam_tribesman	korga_elder	thug	miner		nightsister_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_arch_witch	singing_mtn_clan_arch_witch	miner	janta_herbalist	kunga_herbalist	mokk_herbalist	pirate_squab	miner	miner	miner	nym_pirate_elite
explorer	imperial_noncom	noble	noble	noble	noble	miner	panshee_tribesman	panshee_tribesman	gondula_tribesman	gondula_tribesman	pubam_tribesman	korga_cub	thug	miner		nightsister_initiate	singing_mtn_clan_initiate	singing_mtn_clan_initiate	singing_mtn_clan_arch_witch	singing_mtn_clan_arch_witch	miner	janta_harvester	kunga_harvester	mokk_harvester	pirate_squab	miner	miner	miner	nym_pirate_elite
gambler	imperial_noncom	official	official	official	official	technician	panshee_cub	panshee_cub	gondula_cub	gondula_cub	pubam_cub		scoundrel	technician		nightsister_initiate		singing_mtn_clan_arch_witch			technician	janta_harvester	kunga_harvester	mokk_harvester	pirate_privateer	miner	technician	miner	imperial_deserter
miner	imperial_noncom	scientist	scientist	scientist	scientist	technician	panshee_elder	panshee_elder	gondula_elder	gondula_elder			scoundrel	technician		nightsister_spell_weaver					technician	janta_harvester	kunga_harvester	mokk_harvester	pirate_privateer	miner	technician	miner	businessman
noble	imperial_private	technician	technician	technician	technician	technician							scoundrel	technician							technician	janta_rockshaper	kunga_soothsayer	mokk_loreweaver		technician	technician	technician	businessman
official	imperial_private	commoner	commoner	commoner	commoner								fugitive									janta_rockshaper	kunga_soothsayer	mokk_loreweaver		technician		technician	explorer
scientist	imperial_private	businessman	businessman	businessman	businessman								fugitive													technician		technician	gambler
technician	imperial_private	commoner	commoner	commoner	commoner								fugitive																gambler
businessman	imperial_trooper	commoner	commoner	commoner	commoner								fugitive																scientist
businessman	imperial_trooper	commoner	commoner	commoner	commoner																								scientist
	imperial_trooper																												technician
	imperial_trooper																												technician
	imperial_trooper																												miner
	imperial_trooper																												miner
	imperial_first_lieutenant																												miner
	imperial_first_lieutenant																												commoner
	imperial_first_lieutenant																												commoner
	imperial_sergeant																												
	imperial_sergeant																												
	imperial_sergeant																												
	imperial_sergeant																												
	imperial_sergeant																												
	imperial_corporal																												
	imperial_corporal																												
	imperial_corporal																												
	imperial_major
	imperial_major
	imperial_major
	imperial_major
	imperial_major
	imperial_major
	imperial_colonel
	imperial_colonel
	imperial_major_general
	imperial_lieutenant_general
