loc_x	loc_y	loc_z	yaw
f	f	f	f
-5286	21	-2562	52
-530	21	-2547	-6
-5306	21	-2515	98
-5310	21	-2498	72
-5279	21	-2512	-59
-5237	21	-2591	19
-5227	21	-2605	178
-5222	21	-2636	-93
-5215.7	21	-2603.6	-120
-5175.1	21	-2522.4	-129
-5199.7	21	-2527.4	-141
-5207.2	21	-2490.1	-47
-5250.2	21	-2481.3	-108
-5255.7	21	-2460.7	-84
-5170.7	21	-2478.5	139
-5203.4	21	-2459.7	43
-5224.9	21	-2435.1	-148
-5138.5	21	-2449	-19
-5203.8	21	-2426	143
-5146.1	21	-2457.6	112
-5155.9	21	-2482.8	2
-5152.4	21	-2570.4	-151
-5102.6	21	-2538.2	-139
-5157.9	21	-2635.5	135
-5137	21	-2637.7	40
-5109.4	21	-2627.7	-66
-5098.7	21	-2631.4	-128
-5125.2	21	-2594.3	-82
-5042.9	21	-2607.4	-153
-5025.9	21	-2591.1	88
-5006.3	21	-2571.9	-81
-5004.3	21	-2532.8	51
-5019.8	21	-2551.9	-54
-4997.7	21	-2574.1	-128
-4976.3	21	-2510.2	55
-4945.3	21	-2511	-96
-4940.9	21	-2479.4	147
-5023.1	21	-2466.8	67
-4992.4	21	-2443.8	44
-4953.3	21	-2439.6	127
-4954.3	21	-2411.6	-32
-4959.1	21	-2397.3	-113
-4950.1	21	-2374.1	97
-4971.4	21	-2395.5	135
-4971.7	21	-2340.4	-43
-4996.5	21	-2407.1	-17
-5002.5	21	-2411.3	176
-5025.3	21	-2442.1	166
-5053.9	21	-2475.8	-172
-5082.2	21	-2541.2	55
-5096.9	11	-2533	62
-5102.4	21	-2508.1	132
-5088.3	21	-2466.8	-42
-5096.7	21	-2430.6	-41
-5124.1	21	-2437	12
-5146.3	21	-2435.2	47
-5180	21	-2392.3	58
-5199.4	21	-2364.8	55
-5149.2	21	-2350.5	142
-5145.5	21	-2318	-138
-5125.3	21	-2258.2	-93
-5052.8	21	-2307.1	-134
-5047.7	21	-2275	35
-5013.7	21	-2302.2	-120
-5012.5	21	-2335.8	41
-5145.7	21	-2278.8	-25
-5161.7	21	-2258	-105
-5191.5	21	-2287.1	86
-5242.9	21	-2294.8	-141
-5196.2	21	-2306.8	132
-5179.9	21	-2331.1	-58
-5226.3	21	-2341	-136
-5272.3	21	-2345.9	149
-5228.4	21	-2372.8	23
-5320.3	21	-2390.2	-90
-5272.1	21	-2421	113
-5239.4	21	-2440.5	-129
-5288	21	-2428.7	28
-5328.6	21	-2432.6	8
-5432.8	21.2	-2616.3	-177
-5467.7	21	-2591.1	0
-5469.1	21	-2643	-91
-5433.7	21	-2657.9	-112
-5395.5	21	-2671.9	94
-5397.6	21	-2743.8	-94
-5430.8	21	-2674.3	82
-5535.8	21	-2737.8	5
-5420.1	21	-2783.1	-132
-5485.4	21	-2814	-13
-5468	21	-2879.7	1
-5476.3	21	-2772.9	-92
-5509.8	21	-2800.5	77
-5520.9	21	-2839	-178
-5592	21	-2812.8	-82
-5630.5	21	-2809.1	39
-5682.1	21	-2745.7	-92
-5686.7	21	-2678	-4
-5664.2	21	-2667.7	-96
-5599.8	21	-2685	-94
-5496.4	21	-2659.8	-87
-5521.4	21.3	-2638	33
-5532.4	21	-2589.2	94
-5500.1	21	-2715.4	-175
