loc_x	loc_y	loc_z	yaw
f	f	f	f
-5275.416	75	-6511.0303	17
-5121.137	75	-6479.8613	-124
-5258.24	75	-6517.241	3
-5151.531	75	-6600.166	201
-5236.387	75	-6468.8965	-31
-5239.6567	74.98346	-6459.514	-170
-5310.36	75	-6523.9995	343
-5233.081	75	-6539.71	-138
-5090.451	75	-6505.1904	-11
-5113.2344	75	-6479.341	-290
-5281.138	75	-6533.419	-100
-5227.334	75	-6589.037	103
-5078.993	75	-6545.2617	-49
-5106.7407	75	-6630.4365	45
-5113.137	75	-6537.676	-79
-5075.1494	75	-6611.2285	353
-5279.2744	75	-6605.527	-87
-5107.404	75	-6603.787	-323
-5157.6724	75	-6485.2227	36
-5149.3613	75	-6504.8887	-309
-5097.646	75	-6534.4155	118
-5199.907	75	-6498.266	239
-5103.717	75	-6648.307	-59
-5265.9614	75	-6555.303	-226
-5069.4863	75	-6643.7324	-48
-5144.677	75	-6491.7944	-17
-5154.4688	75	-6525.0464	-234
-5139.5825	75	-6468.5337	-85
-5140.548	75	-6552.312	-297
-5237.908	75	-6594.4946	-96
-5097.8965	75	-6619.9165	162
-5288.8574	75	-6551.1694	-202
-5236.7847	75	-6563.4473	-158
-5194.969	75	-6604.0615	184
-5144.1416	75	-6476.882	-106
-5105.669	75	-6532.3735	243
-5223.1025	75	-6621.4824	-199
-5240.746	75	-6503.158	321
-5275.871	75	-6521.426	230
-5089.4336	75	-6648.4233	-224
-5167.853	75	-6486.3447	-254
-5267.033	75	-6573.995	206
-5287.3945	75	-6560.448	169
-5143.833	75	-6500.3184	-232
-5206.16	75	-6472.393	-95
-5223.784	75	-6450.8403	-329
-5102.128	75	-6612.3496	87
-5183.4316	75	-6486.879	-269
-5035.43	75	-6594.6772	-279
-5094.2686	75	-6619.1416	-332
-5248.604	75	-6584.891	12
-5126.7896	75	-6584.259	-107
-5097.1797	75	-6520.4727	157
-5277.982	75	-6548.7744	-347
-5095.331	75	-6637.967	297
-5210.6006	75	-6537.547	188
-5208.789	75	-6457.18	294
-5210.2383	75	-6550.8306	-189
-5187.163	75	-6533.402	147
-5308.602	75	-6508.0205	250
-5081.4546	75	-6631.9346	326
-5124.0215	75	-6466.5405	-139
-5083.9443	74.8574	-6493.5376	188
-5045.3037	75	-6641.398	50
-5187.0947	75	-6622.6777	-172
-5048.309	75	-6578.706	267
-5179.2954	75	-6603.266	-242
-5295.8867	75	-6510.999	58
-5110.805	75	-6493.6606	241
-5288.914	75	-6528.047	270
-5217.43	75	-6465.5923	71
-5148.116	75	-6613.475	313
-5109.4043	75	-6582.2417	171
-5072.707	75	-6593.4277	-56
-5247.04	75	-6511.0825	227
-5162.586	75	-6613.4316	-161
-5246.4688	75	-6554.8755	84
-5111.7407	75	-6552.6416	207
-5241.4746	74.94991	-6449.968	-222
-5184.9434	75	-6542.8	-235
-5229.6895	75	-6484.651	248
-5149.617	75	-6480.8994	201
-5110.8535	75	-6467.374	-294
-5281.5	75	-6586.9	-220
-5166.444	75	-6505.714	337
-5251.0415	75	-6492.4697	-192
-5222.458	75	-6600.813	-278
-5303.9287	75.652885	-6590.9883	299
-5118.6704	75	-6559.741	36
-5054.011	75	-6597.8364	-210
-5032.7256	75	-6622.145	182
-5087.0586	75	-6537.1846	104
-5266.588	75	-6584.472	-113
-5097.842	75	-6507.5225	47
-5288.448	75	-6542.556	-223
-5206.2393	75	-6618.62	301
-5090.9487	75	-6569.494	-192
-5247.88	75	-6527.4585	-358
-5089.601	75	-6523.4434	-313
-5258.9326	75	-6499.0796	-202
-5282.483	75	-6588	232
-5128.3516	75	-6500.0054	-41
-5125.2075	75	-6577.77	72
-5247.242	75	-6509.564	246
-5184.226	75	-6505.7266	43
-5205.169	75	-6481.273	-308
-5104.0327	75	-6484.3623	26
-5144.4995	75	-6535.631	-359
-5155.9023	75	-6507.0854	73
-5076.937	75	-6573.728	140
-5114.9014	75	-6607.8965	238
-5129.65	75	-6609.4624	31
