loc_x	loc_y	loc_z	yaw
f	f	f	f
-5994.8	6	4228.6	-9
-5898.2	6	4324.5	82
-5861.6	6	4191.6	-92
-5856.4	6	4358.8	80
-5842	6	4341.7	39
-5826.4	6	4263.1	108
-5706.7	6	4474.5	138
-5616.7	6	4092.1	82
-5574.8	7	4751.3	96
-5539.7	7	4797.1	-158
-5476.4	7	4814.6	-105
-5419.9	6	4030	-49
-5402.8	7	4662.2	-92
-5362.6	6	4257.8	-72
-5324.7	6	4547.6	71
-5281.4	6	4462.7	160
-5262.7	6	4205.3	-115
-5249.8	6	4273.1	-86
-5228.9	6	4451.8	-60
-5191.6	6	4373.1	156
-5184.4	6	4305.3	177
-5146.6	6	4211.4	-82
-5142.8	6	4484.5	37
-5120.5	6	4247.8	-89
-5091.7	6	4094.9	83
-5071.4	6	4172.8	-43
-5066.4	6	4270.2	-29
-5063.4	6	4199.4	127
-5027.9	6	4105.8	154
-5025.1	6	4032.8	-142
-5014.3	6	4085.7	74
-5001.7	6	4185.7	-175
-5000.8	6	4261.4	-81
-4952.8	6	4227.9	121
-4949.3	6	4016.2	175
-4927.3	6	4085	58
-4899.5	6	4036.7	44
-4838.3	6	4144.8	84
-4798	6	4118.3	82
-4733.3	6	3981.7	93
-4716.9	6	4260.4	-91
-4707	6	4033.1	65
-4704.1	6	3926.2	163
-4691.4	6	4241	166
-4641.6	6	4130.2	146
-4620.7	6	3958.5	-58
-4592.8	6	4016.7	22
-4581.2	6	4148.5	-158
-4576.2	6	4111.9	-158
-5667	7	4025	-16
-5691	6	4030	-40
-5728.7	6	4040.8	47
-5895.2	6	4207.5	107
-5877.6	6	4213.8	-145
-5829.6	6	4186	150
-5766	6.6	4160.2	-27
-5739.2	6	4171.2	82
-5742.5	6	4127.4	-140
-5644.6	6	4131.2	-104
-5600	6	4168.8	-32
-5659.8	6	4199	57
-5673.6	6	4210.6	-31
-5742.3	6	4210.9	58
-5755.9	6	4189.1	-34
-5739.9	6	4232.2	146
-5723.3	6	4290.4	-92
-5677	6	4282.8	-7
-5674.8	6	4251.7	-86
-5626.4	6	4203.1	146
-5611.5	6	4121.2	-171
-5520.2	6	4170.5	-18
-5469.3	6	4248.3	-9
-5528.4	6	4210.7	-74
-5522.2	6	4293	-1
-5580.3	6	4286.8	-2
-5583.1	6	4353.7	0
-5582.3	6	4420.8	0
-5661.2	6	4480.5	-103
-5773	6	4395.6	-42
-5706.8	6	4278.4	70
-5814.3	6	4280.5	-89
-5008.6	6	4048.7	98
-4892.2	6	4117.9	-125
-4929.1	6	4157.1	-26
-4924.7	6	4196.4	-49
-4993.9	6	4223	-159
-5099.6	6	4229.5	177
-5148.5	6	4307.2	-32
-5327.4	6	4333.6	-116
-5340	6	4396.7	-1
-5311.5	6	4487	-41
-5334	6	4593.9	-13
-5370.3	7	4704.7	152
-5406.9	7	4779.9	-35
-5471.7	7	4835.3	30
-5534.9	7	4825.2	-105
-5592.9	7	4765.1	-147
-5618.7	7	4714.1	-141
-4695	9	4034	0
-5301	6	4139	0
-5382	6	4102	0
-5399	6	4018	0
-5438	6	3977	0
-5518	6	3987	0
-5437	6	4031	0
-5441	6	4080	0
-5539	6	4124	0
-5443	6	4138	0
-5569	6	4261	0
-5568	6	4315	0
-5549	6	4462	0
-5689	6	4458	0
-5626	6	4219	0
-5589	6	4146	0
-5650	6	4086	0
-5664	6	4149	0
-5723	6	4113	0
-5873	6	4114	0
-5895	6	4152	0
-5793	6	4138	0
-5827	6	4217	0
-5863	6	4302	0
-5876	6	4324	0
-5799	6	4293	0
-5770	6	4304	0
-5687	6	4307	0
-5724	6	4256	0
-5752	6	4365	0
-5766	6	4449	0
-5709	6	4516	0
-5618	6	4569	0
-5631	6	4665	0
-5704	6	4626	0
-5770	6	4507	0
-5454	6	4276	0
-5430	6	4323	0
-5391	6	4322	0
-5324	6	4197	0
-5357	6	4308	0
-5350	6	4415	0
-5319	6	4398	0
-5198	6	4431	0
-5434	6	4479	0
-5369	6	4588	0
-5385	6	4629	0
-5274	6	4640	0
-5258	6	4583	0
-5306	6	4528	0
-5251	6	4369	0
-5209	6	4316	0
-5265	6	4247	0
-5152	6	4416	0
-4888	6	4197	0
-4697	6	3974	0
-4722	6	3958	0
-4689	6	4057	0
-4593	6	4125	0
-4617	6	4049	0
-4538	6	4107	0
-4872	6	3976	0
-4884	6	4054	0
-5037	6	4018	0
-5050	6	4153	0
-4936	6	4176	0
-4867	6	4177	0
-4920	6	4146	0
-4922	6	4049	0
-5023	6	4202	0
-5077	6	4137	0
-5135	6	4205	0
-5127	6	4306	0
-5118	6	4586	0
-4936	6	4445	0
-4851	6	4395	0
-4668	6	4241	0
-4628	6	4207	0
-4789	6	4085	0
-5066	6	4072	0
-5429	6	4227	0
-5497	6	4179	0
-5504	6	4129	0
-5592	6	4081	0
-5720	6	4170	0
-5761	6	4114	0
-5798	6	4092	0
-5972	6	4255	0
-5966	6	4324	0
-5921	6	4292	0
-5905	6	4368	0
