spawn_who	name	x_offset	y_offset	z_offset	yaw	defaultCalmMood	instrument	instrumentEquipped	instrument_x_offset	instrument_z_offset
s	s	f	f	f	f	s	s[none]	i[0]	f	f
ewok_loveday_dancer	an Ewok Dancer	5	0	0	90	dance_2				
ewok_loveday_dancer	an Ewok Dancer	0	0	-5.5	180	dance_2				
ewok_loveday_vendor	Logray	-3	0	8	45					
ewok_loveday_dancer	an Ewok Dancer	-5	0	0	-90	dance_2				
ewok_loveday_chief	Chief Chirpa	0.5	0	-15.5	0		object/tangible/holiday/love_day/love_day_prop_2009_flowers_reward.iff	1		
ewok_loveday_dancer	an Ewok Dancer	3.5	0	4.5	45	dance_1				
ewok_loveday_dancer	an Ewok Dancer	-3.5	0	4.5	-45	dance_1				
ewok_loveday_dancer	an Ewok Dancer	-3.5	0	-4.5	-135	dance_1				
ewok_loveday_dancer	an Ewok Dancer	3.5	0	-4.5	135	dance_1				
ewok_loveday_dancer	an Ewok Dancer	0	0	5.5	0	dance_2				
