loc_x	loc_y	loc_z	yaw
f	f	f	f
321.26373	6	-2759.2847	201
596.8941	6	-2966.1602	-85
134.43246	6	-3029.088	197
459.43036	6	-3252.3774	-306
121.54964	6	-2793.1135	-7
388.02496	6	-3006.9836	-144
177.79732	6	-2869.1426	-135
140.28984	6	-3050.8064	-183
429.6761	6	-3217.029	-221
364.70184	6	-2864.2234	-314
397.86835	6	-3170.9795	-222
510.087	6	-2956.7769	-51
149.71748	6	-2856.9065	282
447.43515	6	-3089.127	183
347.696	6	-2947.3765	-152
585.8267	6	-3192.532	-310
628.33057	6	-2871.0378	284
391.08508	6	-2777.9797	-271
179.59306	6	-2824.202	341
312.95502	6	-2745.2888	-128
338.45715	6	-3170.8955	-184
171.90662	6	-3045.195	9
580.8661	6	-2929.4329	-193
148.52885	6	-2798.623	-204
720.39874	6	-3164.128	130
706.9932	6	-3126.3025	-171
475.6944	6	-3228.3962	56
471.39294	6	-3251.5088	-293
633.9207	6	-3152.8286	-141
374.7911	6	-2965.329	-347
577.4317	6	-3082.8372	330
395.8805	6	-3078.969	-235
440.56787	6	-3199.9229	313
432.25943	6	-3126.5403	242
204.50775	6	-2834.57	120
321.8469	6	-2819.1333	67
335.70026	6	-3132.383	177
412.0384	6	-3024.1785	287
566.07544	6	-3048.8823	-355
148.9441	6	-2824.5872	249
444.5888	6	-2833.3306	198
505.04718	6	-2899.6821	-85
530.3621	6	-3191.8857	102
504.13043	6	-3151.1724	-116
279.57922	6	-3111.685	-33
244.50372	6	-3072.435	-285
221.01534	6	-2850.7356	-181
658.511	6	-3078.6436	38
129.0079	6	-2882.0562	-298
673.8563	6	-3220.3992	298
320.79022	6	-2896.7036	360
642.79865	6	-3060.9246	-31
622.5646	6	-3041.0007	114
545.9213	6	-3035.9697	-255
647.6987	6	-3136.785	57
571.0176	6	-2907.544	283
418.2129	6	-3073.5415	256
264.89377	6	-2993.126	162
718.7825	6	-2934.7302	121
148.53986	6	-3100.0205	31
497.88626	6	-2833.3025	46
575.62756	6	-3169.6365	-31
336.29947	6	-3004.8943	-77
488.3282	6	-2914.8098	-332
122.46826	6	-2822.5178	115
450.48392	6	-3041.167	270
243.75993	6	-2792.9153	-115
391.20084	6	-2757.384	-123
241.08568	6	-2834.6719	21
628.4249	6	-2846.081	233
135.16089	6	-2954.4104	-346
539.6518	6	-2957.3835	-300
722.1371	6	-3188.332	4
333.80518	6	-3035.398	51
475.10242	6	-3125.7659	-188
504.2947	6	-3082.7456	245
613.1184	6	-3136.65	68
613.92163	6	-3095.5564	95
200.98297	6	-3037.74	-108
474.97803	6	-3174.7964	-132
561.41986	6	-2875.2817	273
439.83133	6	-2850.3694	295
426.664	6	-2895.452	-12
604.1317	6	-3190.3499	-158
493.23706	6	-3198.6133	293
209.80562	6	-2790.6902	224
155.05501	6	-3019.8977	128
318.8475	6	-3149.248	-193
462.0296	6	-3191.137	2
121.140144	6	-2977.9578	339
379.8301	6	-2876.2512	100
398.04843	6	-3035.4578	258
246.83884	6	-3023.5647	-29
430.26617	6	-3169.253	248
220.72269	6	-3025.293	267
415.86258	6	-2826.9448	344
322.80627	6	-3082.0854	-349
369.4054	6	-2947.1938	-164
614.63086	6	-2921.7646	-44
134.9564	6	-2965.2869	-244
382.22852	6	-3043.2903	-90
339.93146	6	-2809.7532	56
379.1845	6	-3171.9175	-56
363.9718	6	-3056.136	338
595.54254	6	-2935.2456	213
715.8565	6	-2889.7036	-183
361.00946	6	-2755.0862	-51
715.3457	6	-3078.4883	-297
387.40695	6	-2923.0044	-23
504.0248	6	-3114.1262	-153
135.63518	6	-2905.6553	-55
529.41016	6	-2825.0894	126
480.8331	6	-2897.8152	-313
662.05865	6	-2888.5723	355
320.79468	6	-3010.6562	-77
596.00635	6	-2944.4836	329
632.0504	6	-3114.0886	-28
696.7023	6	-3110.9146	-259
622.99866	6	-2965.937	-191
489.07495	6	-2940.8967	-236
136.25603	6	-2799.134	26
130.24341	6	-2862.755	103
707.43036	6	-3042.2444	-314
475.0758	6	-2865.8635	316
492.92517	6	-3155.2312	53
457.84424	6	-2986.3372	-358
462.9778	6	-3228.868	296
448.91812	6	-2972.961	35
461.81662	6	-2896.0261	-216
418.18994	6	-2848.688	-351
392.92825	6	-2742.3818	-286
203.80992	6	-3020.4263	78
590.7308	6	-3088.4229	-18
129.351	6	-2837.7434	-170
507.34558	6	-3045.7527	-294
495.7284	6	-2969.5254	-12
464.95694	6	-3086.2256	181
713.0229	6	-3099.3818	37
685.0297	6	-2956.0857	115
473.3966	6	-3190.8904	19
342.36075	6	-2876.941	16
348.79367	6	-3022.5317	-204
501.30322	6	-3208.6785	190
452.12228	6	-3023.824	206
269.4153	6	-2843.3228	-102
336.84412	6	-2985.366	267
436.55267	6	-2825.129	111
407.61145	6	-2865.9133	-74
304.22925	6	-2995.0503	53
577.25507	6	-2862.2378	245
590.86206	6	-3109.56	342
177.17902	6	-2852.7273	-60
363.4233	6	-3024.414	-245
703.1882	6	-3026.7493	-334
456.756	6	-2745.6853	-222
488.8149	6	-3109.2954	-316
543.99475	6	-2875.1174	-195
627.0156	6	-2906.387	124
134.86707	6	-2893.2751	13
683.8275	6	-2895.6187	236
483.43958	6	-3022.3062	-281
158.48026	6	-2819.4114	284
713.9373	6	-2848.5361	183
122.264145	6	-3074.779	194
502.24103	6	-3244.6165	-86
333.78598	6	-3076.1575	-332
577.50195	6	-2825.5942	168
277.66376	6	-2794.6497	-230
579.84216	6	-2950.8308	-227
575.32	6	-3143.5889	111
199.6119	6	-3082.4766	-201
492.24643	6	-3131.4587	21
223.99965	6	-3049.647	-72
203.10252	6	-3096.4924	-221
231.61882	6	-3081.3225	44
332.7773	6	-2938.7568	-307
288.15823	6	-2781.2686	-198
597.90717	6	-3164.6191	-269
430.66937	6	-3141.8438	-47
533.50964	6	-3064.0122	-160
195.9171	6	-2801.102	319
539.4923	6	-3191.5894	-359
392.95865	6	-3137.6462	-264
471.59283	6	-3105.9897	-323
132.8183	6	-2929.7341	-34
576.4974	6	-3188.2844	326
122.921234	6	-2854.4329	29
247.40585	6	-3083.323	-101
228.0567	6	-3002.9307	-123
380.36954	6	-3016.9492	-191
576.47205	6	-3043.9722	-30
718.6668	6	-2910.9548	-54
633.7269	6	-3188.3467	-319
497.3305	6	-2825.3525	-330
210.76575	6	-2847.8594	193
407.2985	6	-3101.6304	183
564.58954	6	-2838.0254	-275
192.16443	6	-2840.2852	200
723.32043	6	-3136.9414	294
156.49236	6	-2914.1455	-116
182.31953	6	-2792.5923	-9
166.12494	6	-2978.2556	-308
186.68115	6	-3071.2349	298
455.4502	6	-2864.4468	-164
