loc_x	loc_y	loc_z	yaw
f	f	f	f
-6031.2	6	4277.7	52
-5953.9	6	4293.5	81
-5812.7	6	4038.6	149
-5795.2	6	4107.5	123
-5777.6	6	4431.3	134
-5811.2	6	4091.8	29
-5693.5	6	4120.5	168
-5646.1	6	4535.8	56
-5591.5	7	4662	84
-5562.4	7	4774.6	123
-5532.7	6	4044.6	25
-5527.7	6	3860.1	45
-5450.3	7	4795.4	-85
-5448.6	6	3935.1	178
-5427.4	7	4769.6	-139
-5410.5	7	4717.7	-102
-5304.5	6	4261.8	114
-5249.9	6	4382.6	-171
-5214.2	6	4209.3	30
-5175.6	6	4177.1	-9
-5170	6	4213.1	159
-5164	6	4304	-156
-5162.5	6	4142.1	85
-5132.8	6.5	4174	3
-5131.5	6	4340.4	-5
-5129.5	6.5	4146.4	-175
-5124.9	6.5	4125	-29
-5103.6	6	4529.6	134
-5070.1	6	4288	101
-5037.2	6	4532.3	173
-5020.4	6	4303	-46
-4980.9	6	4471.1	-151
-4968.3	6	4002.9	-56
-4905.3	6	3981.6	-112
-4896.2	6	4398	-165
-4862	6	4049.1	-147
-4853.3	6	4015	-68
-4847.4	6	4088.4	-124
-4808.4	6	4321	-179
-4768.6	6	4314.7	-103
-4726.1	6	4276.5	162
-4671.3	6	3950.8	141
-4670.6	6	3986.7	43
-4665.8	6	3917.7	-39
-4654.2	6	3942.2	-64
-4646.3	6	4020	-149
-4637.6	6	4093.6	-33
-4602	6	4098.8	64
-4595.6	6	4052.6	-50
-5455.2	6	4185.5	-178
-5813.1	6	4414	130
-5814.2	6	4439.3	45
-5754.2	6	4424	165
-5684.2	6	4382.6	114
-5721.4	6	4368.5	136
-5667.7	6	4315.4	61
-5660.1	6	4281.9	87
-5960.3	6	4208.4	11
-6025	6	4236.7	-172
-6048	6	4301.3	-9
-5979.7	6	4301.6	76
-5938.2	6	4312	83
-5819	6	4313	32
-5162.9	6	4094.3	91
-5085.6	6	4032.5	158
-5140.3	6	4228.7	-93
-5146.5	6	4250.2	168
-5169	6	4236.4	-128
-5163.7	6	4224.2	172
-5193.5	6	4205.6	-124
-5086.1	6	4212	-15
-4968.1	6	4180.6	100
-4979.9	6	4141.3	-55
-4957.4	6	4153.8	31
-5043.1	6	4075.7	-50
-5093.7	6	4310.3	-35
-5244.6	6	4212.7	160
-5336.8	6	4170.7	-114
-5399.5	6	4165.2	-65
-5480.4	6	4156.7	117
-5485.1	6	4085.1	127
-5402.9	6	4068.5	91
-5625.2	6	4112.6	5
-5653.4	6	4228.1	-1
-4999	6	4010	152
-4968.1	6	4046.9	29
-4937.3	6	4035.6	-62
-4919.2	6	3987.8	124
-4935.4	6	4002.7	-97
-4966.9	6	4060.7	36
-4975.2	6	4101	-58
-5099.3	6	4061.2	-141
-5117	6	4042.8	-136
-5215.5	6	4273.3	45
-5298	6	4306	77
-5409.5	6	4222.6	-156
-5406.9	6	4276.9	-42
-5408.8	6	4335.8	-82
-4790	9	4115	0
-5311	6	4085	0
-5355	6	4102	0
-5386	6	4018	0
-5464	6	3975	0
-5499	6	3979	0
-5465	6	4032	0
-5470	6	4080	0
-5536	6	4078	0
-5468	6	4139	0
-5538	6	4246	0
-5567	6	4366	0
-5565	6	4425	0
-5725	6	4479	0
-5663	6	4246	0
-5637	6	4179	0
-5680	6	4106	0
-5660	6	4184	0
-5733	6	4114	0
-5823	6	4112	0
-5855	6	4151	0
-5895	6	4192	0
-5827	6	4247	0
-5890	6	4277	0
-5909	6	4303	0
-5800	6	4329	0
-5736	6	4297	0
-5727	6	4311	0
-5692	6	4255	0
-5786	6	4369	0
-5732	6	4406	0
-5688	6	4576	0
-5601	6	4516	0
-5607	6	4630	0
-5672	6	4669	0
-5748	6	4487	0
-5456	6	4257	0
-5430	6	4286	0
-5391	6	4284	0
-5312	6	4166	0
-5351	6	4357	0
-5348	6	4396	0
-5317	6	4368	0
-5314	6	4427	0
-5408	6	4497	0
-5375	6	4551	0
-5365	6	4664	0
-5312	6	4641	0
-5250	6	4553	0
-5308	6	4572	0
-5286	6	4349	0
-5234	6	4274	0
-5277	6	4221	0
-5188	6	4446	0
-4932	6	4224	0
-4659	6	3966	0
-4622	6	3981	0
-4655	6	4081	0
-4612	6	4131	0
-4623	6	4072	0
-4576	6	4075	0
-4890	6	4017	0
-4927	6	4000	0
-5008	6	3994	0
-5015	6	4120	0
-4950	6	4126	0
-4844	6	4156	0
-4832	6	4109	0
-4948	6	4090	0
-5024	6	4235	0
-5060	6	4160	0
-5087	6	4163	0
-5147	6	4275	0
-5055	6	4568	0
-4971	6	4509	0
-4768	6	4337	0
-4713	6	4244	0
-4567	6	4178	0
-4804	6	4136	0
-5102	6	4109	0
-5162	6	4122	0
-5185	6	4164	0
-5503	6	4058	0
-5592	6	4053	0
-5692	6	4171	0
-5817	6	4162	0
-5910	6	4237	0
-5997	6	4270	0
-6003	6	4301	0
-5905	6	4368	0
-5703	6	4406	0
