loc_x	loc_y	loc_z	yaw
f	f	f	f
-5565.4	21	-2795.4	-92
-5628.5	21	-2710.2	89
-5561	21	-2685.9	82
-5489.2	21	-2590.2	174
-5473.8	21	-2657.9	174
-5417	21	-2680.4	88
-5499.6	21	-2763.8	-179
-5547.3	21	-2756.1	-4
-5507.7	21	-2709.9	-2
-5549.6	21	-2581.1	-132
-5510	21.2	-2623.3	-104
-5441.9	21	-2612	149
-5425.1	21	-2657.9	-19
-5298.8	21	-2545.3	64
-5227.2	21	-2630	-84
-5202.4	21	-2603.4	-8
-5172	21	-2634.1	-140
-5145.6	21	-2655.8	-1
-5128.9	21	-2613.9	128
-5085	21	-2648.8	174
-5077.2	21	-2555.1	-150
-5043.7	21	-2581.5	-172
-5028.5	21	-2540.7	130
-4956.9	21	-2516.9	32
-4994.6	21	-2416.7	-142
-5012.4	21	-2438.2	134
-5056.1	21	-2364.9	151
-5044.5	21	-2308.1	132
-5128.9	21	-2336.5	-129
-5085	21	-2422.6	35
