wildListName	wildAbilityChance	wildAbilityList
s[required]	f[0.0]	s
lowAttackDamageWeak	15	"damageBoost_1,toHitBoost_1,defenseBreakAttack_1"
lowAttackSpeedWeak	15	"attackSpeedBoost_1,lowHealthFrenzy_1,bleedingAttack_1"
lowAttackAbilityWeak	15	"stunAttack_1,blindAttack_1,knockdownAttack_1"
lowAttackUtilityWeak	15	"critHitBoost_1,frenzy_1,tauntReduction_1"
lowTankHealthWeak	15	"healthBoost_1,regenBoost_1"
lowTankDefenseWeak	15	"defenseBoost_1,defenseStance_1"
lowTankArmorWeak	15	"armorBoost_1,critSaveBoost_1,lowHealthDefense_1"
lowTankUtilityWeak	15	"tauntBoost_1,shieldMaster_1,intimidateAttack_1"
lowAbilitySpeedWeak	15	"runSpeedBoost_1,snareAttack_1"
medAttackDamageWeak	35	"damageBoost_1,toHitBoost_1,defenseBreakAttack_1"
medAttackSpeedWeak	35	"attackSpeedBoost_1,lowHealthFrenzy_1,bleedingAttack_1"
medAttackAbilityWeak	35	"stunAttack_1,blindAttack_1,knockdownAttack_1"
medAttackUtilityWeak	35	"critHitBoost_1,frenzy_1,tauntReduction_1"
medTankHealthWeak	35	"healthBoost_1,regenBoost_1"
medTankDefenseWeak	35	"defenseBoost_1,defenseStance_1"
medTankArmorWeak	35	"armorBoost_1,critSaveBoost_1,lowHealthDefense_1"
medTankUtilityWeak	35	"tauntBoost_1,shieldMaster_1,intimidateAttack_1"
medAbilitySpeedWeak	35	"runSpeedBoost_1,snareAttack_1"
highAttackDamageWeak	65	"damageBoost_1,toHitBoost_1,defenseBreakAttack_1"
highAttackSpeedWeak	65	"attackSpeedBoost_1,lowHealthFrenzy_1,bleedingAttack_1"
highAttackAbilityWeak	65	"stunAttack_1,blindAttack_1,knockdownAttack_1"
highAttackUtilityWeak	65	"critHitBoost_1,frenzy_1,tauntReduction_1"
highTankHealthWeak	65	"healthBoost_1,regenBoost_1"
highTankDefenseWeak	65	"defenseBoost_1,defenseStance_1"
highTankArmorWeak	65	"armorBoost_1,critSaveBoost_1,lowHealthDefense_1"
highTankUtilityWeak	65	"tauntBoost_1,shieldMaster_1,intimidateAttack_1"
highAbilitySpeedWeak	65	"runSpeedBoost_1,snareAttack_1"
lowAttackDamageAvg	15	"damageBoost_2,toHitBoost_2,defenseBreakAttack_2"
lowAttackSpeedAvg	15	"attackSpeedBoost_2,lowHealthFrenzy_2,bleedingAttack_2"
lowAttackAbilityAvg	15	"stunAttack_2,blindAttack_2,knockdownAttack_2"
lowAttackUtilityAvg	15	"critHitBoost_2,frenzy_2,tauntReduction_2"
lowTankHealthAvg	15	"healthBoost_2,regenBoost_2"
lowTankDefenseAvg	15	"defenseBoost_2,defenseStance_2"
lowTankArmorAvg	15	"armorBoost_2,critSaveBoost_2,lowHealthDefense_2"
lowTankUtilityAvg	15	"tauntBoost_2,shieldMaster_2,intimidateAttack_2"
lowAbilitySpeedAvg	15	"runSpeedBoost_2,snareAttack_2"
medAttackDamageAvg	35	"damageBoost_2,toHitBoost_2,defenseBreakAttack_2"
medAttackSpeedAvg	35	"attackSpeedBoost_2,lowHealthFrenzy_2,bleedingAttack_2"
medAttackAbilityAvg	35	"stunAttack_2,blindAttack_2,knockdownAttack_2"
medAttackUtilityAvg	35	"critHitBoost_2,frenzy_2,tauntReduction_2"
medTankHealthAvg	35	"healthBoost_2,regenBoost_2"
medTankDefenseAvg	35	"defenseBoost_2,defenseStance_2"
medTankArmorAvg	35	"armorBoost_2,critSaveBoost_2,lowHealthDefense_2"
medTankUtilityAvg	35	"tauntBoost_2,shieldMaster_2,intimidateAttack_2"
medAbilitySpeedAvg	35	"runSpeedBoost_2,snareAttack_2"
highAttackDamageAvg	65	"damageBoost_2,toHitBoost_2,defenseBreakAttack_2"
highAttackSpeedAvg	65	"attackSpeedBoost_2,lowHealthFrenzy_2,bleedingAttack_2"
highAttackAbilityAvg	65	"stunAttack_2,blindAttack_2,knockdownAttack_2"
highAttackUtilityAvg	65	"critHitBoost_2,frenzy_2,tauntReduction_2"
highTankHealthAvg	65	"healthBoost_2,regenBoost_2"
highTankDefenseAvg	65	"defenseBoost_2,defenseStance_2"
highTankArmorAvg	65	"armorBoost_2,critSaveBoost_2,lowHealthDefense_2"
highTankUtilityAvg	65	"tauntBoost_2,shieldMaster_2,intimidateAttack_2"
highAbilitySpeedAvg	65	"runSpeedBoost_2,snareAttack_2"
lowAttackDamageStrong	15	"damageBoost_3,toHitBoost_3,defenseBreakAttack_3"
lowAttackSpeedStrong	15	"attackSpeedBoost_3,lowHealthFrenzy_3,bleedingAttack_3"
lowAttackAbilityStrong	15	"stunAttack_3,blindAttack_3,knockdownAttack_3"
lowAttackUtilityStrong	15	"critHitBoost_3,frenzy_3,tauntReduction_3"
lowTankHealthStrong	15	"healthBoost_3,regenBoost_3"
lowTankDefenseStrong	15	"defenseBoost_3,defenseStance_3"
lowTankArmorStrong	15	"armorBoost_3,critSaveBoost_3,lowHealthDefense_3"
lowTankUtilityStrong	15	"tauntBoost_3,shieldMaster_3,intimidateAttack_3"
lowAbilitySpeedStrong	15	"runSpeedBoost_3,snareAttack_3"
medAttackDamageStrong	35	"damageBoost_3,toHitBoost_3,defenseBreakAttack_3"
medAttackSpeedStrong	35	"attackSpeedBoost_3,lowHealthFrenzy_3,bleedingAttack_3"
medAttackAbilityStrong	35	"stunAttack_3,blindAttack_3,knockdownAttack_3"
medAttackUtilityStrong	35	"critHitBoost_3,frenzy_3,tauntReduction_3"
medTankHealthStrong	35	"healthBoost_3,regenBoost_3"
medTankDefenseStrong	35	"defenseBoost_3,defenseStance_3"
medTankArmorStrong	35	"armorBoost_3,critSaveBoost_3,lowHealthDefense_3"
medTankUtilityStrong	35	"tauntBoost_3,shieldMaster_3,intimidateAttack_3"
medAbilitySpeedStrong	35	"runSpeedBoost_3,snareAttack_3"
highAttackDamageStrong	65	"damageBoost_3,toHitBoost_3,defenseBreakAttack_3"
highAttackSpeedStrong	65	"attackSpeedBoost_3,lowHealthFrenzy_3,bleedingAttack_3"
highAttackAbilityStrong	65	"stunAttack_3,blindAttack_3,knockdownAttack_3"
highAttackUtilityStrong	65	"critHitBoost_3,frenzy_3,tauntReduction_3"
highTankHealthStrong	65	"healthBoost_3,regenBoost_3"
highTankDefenseStrong	65	"defenseBoost_3,defenseStance_3"
highTankArmorStrong	65	"armorBoost_3,critSaveBoost_3,lowHealthDefense_3"
highTankUtilityStrong	65	"tauntBoost_3,shieldMaster_3,intimidateAttack_3"
highAbilitySpeedStrong	65	"runSpeedBoost_3,snareAttack_3"
