intComponent	strSlot	strTurretType	fltMinDamage	fltMaxDamage	fltRefire	fltDrain	fltShieldEfficiency	fltArmorEfficiency	fltArmorHitpoints	fltComponentHitpoints
h	s	s	f	f	f	f	f	f	f	f
wpn_red_cap_ship_turret	weapon_0	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_1	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_2	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_3	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_4	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_5	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_6	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_7	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_8	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_9	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_10	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_11	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_12	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
wpn_red_cap_ship_turret	weapon_13	object/tangible/ship/components/weapon/wpn_red_cap_ship_turret.iff	800	1000	0.6	0	1	1	20000	20000
