intComponent	strSlot	strTurretType	fltMinDamage	fltMaxDamage	fltRefire	fltDrain	fltShieldEfficiency	fltArmorEfficiency	fltArmorHitpoints	fltComponentHitpoints
h	s	s	f	f	f	f	f	f	f	f
wpn_star_destroyer_turret_dome	weapon_0	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_dome.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_dome	weapon_1	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_dome.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_2	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_3	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_4	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_5	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_6	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_square	weapon_7	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_square.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_8	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_9	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_10	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_11	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_12	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_13	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_14	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_15	object/tangible/ship/components/weapon/wpn_star_destroyer_turret_med.iff	150	400	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_16	hp_star_destroyer_mini_turret_base_01	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_17	hp_star_destroyer_mini_turret_base_02	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_18	hp_star_destroyer_mini_turret_base_03	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_19	hp_star_destroyer_mini_turret_base_04	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_20	hp_star_destroyer_mini_turret_base_05	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_21	hp_star_destroyer_mini_turret_base_06	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_22	hp_star_destroyer_mini_turret_base_07	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_23	hp_star_destroyer_mini_turret_base_08	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_24	hp_star_destroyer_mini_turret_base_09	100	300	0.531	0	1	1	50000	50000
	weapon_25		100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_26	hp_star_destroyer_mini_turret_base_11	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_27	hp_star_destroyer_mini_turret_base_12	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_28	hp_star_destroyer_mini_turret_base_13	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_29		100	300	0.531	0	1	1	50000	50000
	weapon_30		100	300	0.531	0	1	1	50000	50000
	weapon_31		100	300	0.531	0	1	1	50000	50000
	weapon_32		100	300	0.531	0	1	1	50000	50000
	weapon_33	wpn_star_destroyer_turret_dome	100	300	0.531	0	1	1	50000	50000
	weapon_34	wpn_star_destroyer_turret_square	100	300	0.531	0	1	1	50000	50000
	weapon_35	wpn_star_destroyer_turret_med	100	300	0.531	0	1	1	50000	50000
	weapon_36		100	300	0.531	0	1	1	50000	50000
	weapon_37		100	300	0.531	0	1	1	50000	50000
	weapon_38		100	300	0.531	0	1	1	50000	50000
	weapon_39		100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_40	hp_star_destroyer_mini_turret_base_25	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_41	hp_star_destroyer_mini_turret_base_26	100	300	0.531	0	1	1	50000	50000
wpn_star_destroyer_turret_med	weapon_42	hp_star_destroyer_mini_turret_base_27	100	300	0.531	0	1	1	50000	50000
