intLevel	hum_lck	hum_pre	hum_str	hum_con	hum_sta	hum_agi	rod_lck	rod_pre	rod_str	rod_con	rod_sta	rod_agi	tran_lck	tran_pre	tran_str	tran_con	tran_sta	tran_agi	mon_lck	mon_pre	mon_str	mon_con	mon_sta	mon_agi	wok_lck	wok_pre	wok_str	wok_con	wok_sta	wok_agi	both_lck	both_pre	both_str	both_con	both_sta	both_agi	twi_lck	twi_pre	twi_str	twi_con	twi_sta	twi_agi	zab_lck	zab_pre	zab_str	zab_con	zab_sta	zab_agi	ith_lck	ith_pre	ith_str	ith_con	ith_sta	ith_agi	sul_lck	sul_pre	sul_str	sul_con	sul_sta	sul_agi
i	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]
1																																																												
2		1			1			1			1	1			1	1	1	1		1			1				1	1			1			1		1					1			1		1					1		1					1		1
3		1	1		1	1		2			1	2			1	2	1	1	1	2			1				2	2	1		1	1		1		1	1				1	1		1	1	1		1	1	1	1		2		1			2		1
4		2	1		2	1		3			1	2			2	2	2	1	1	2		1	2				3	3	1		2	2		1		2	1				2	2		2	1	2		1	1	1	2		3		1		1	2		2
5		2	2		2	2		4			1	3			2	3	3	1	2	3		1	3				4	4	2		3	2		1		2	1	1			3	2		2	2	2		2	1	1	3		3		2		1	3		3
6		3	2		3	2	1	4			1	4			3	4	3	1	2	4		2	3				5	5	2		3	3		2		3	2	1			3	3		3	2	3		2	2	2	3		4		2		2	4		3
7		3	3		3	3	1	5			1	5			3	4	4	1	3	4		2	4				6	6	3		4	4		2		3	2	2			4	4		3	3	3		3	2	2	4		5		3		2	4		4
8		4	3		4	3	1	6			1	5			4	5	5	1	3	5		3	5				7	7	3		5	4		2		4	3	2			5	4		4	3	4		3	2	3	5		5		3		3	5		5
9		4	4		4	4	1	7			1	6			4	6	5	1	3	6		3	5			1	8	8	3		5	5		2		4	3	3			5	5		4	4	4		4	3	3	5		6		3		3	6		5
10		5	5		5	5	1	7			1	7			5	6	6	1	4	6		3	6			1	9	9	4		6	6		2		5	4	3			6	6		5	5	5		5	3	4	6		7		4		3	6		6
11		6	5		6	5	2	8			2	8			6	7	7	2	4	7		4	7			1	10	10	4		7	6		3		6	4	4			7	6		6	5	6		5	3	4	7		7		4		4	7		7
12		6	6		6	6	2	9			2	9			6	8	7	2	4	8		4	7			1	11	11	4		7	7		3		6	5	4			7	7		6	6	6		6	4	5	7		8		4		4	8		7
13		7	6		7	6	2	10			2	10			7	8	8	2	4	8		4	8			1	12	12	4		8	8		3		7	5	5			8	8		7	6	7		6	4	5	8		9		4		4	8		8
14		7	7		7	7	2	11			2	11			7	9	9	2	5	9		4	9			1	13	13	5		9	9		3		7	6	5			9	8		7	7	7		7	4	6	9		10		5		4	9		9
15		8	7		8	7	3	12			2	12			8	10	10	2	5	10		5	9			1	14	14	5		9	10		3		8	6	6			9	9		8	7	8		7	5	6	9		11		5		5	10		9
16		8	8		8	8	3	13			3	13			8	11	11	3	5	10		5	10			1	15	15	5		10	11		4		8	7	6			10	10		8	8	8		8	5	7	10		12		5		5	10		10
17		9	8		9	8	3	14			3	14			9	12	12	3	5	11		5	11			1	16	16	5		11	11		4		9	7	7			11	10		9	8	9		8	5	7	11		12		5		5	11		11
18		9	9		9	9	3	15			3	14			9	13	12	3	6	12		5	11			2	17	17	6		11	12		4		9	8	7			11	11		9	9	9		9	6	8	11		13		6		5	12		11
19		10	9		10	9	3	16			3	15			10	13	13	3	6	12		6	12			2	18	17	6		12	13		4		10	8	7			12	12		10	9	10		9	6	8	12		14		6		6	12		12
20		10	10		10	10	4	16			4	16			10	14	14	4	6	13		6	13			2	18	18	6		13	13		5		10	8	8			13	12		10	10	10		10	6	8	13		14		6		6	13		13
21		11	10		11	10	4	17			4	17			11	15	14	4	7	14		6	13			2	19	19	7		13	14		5		11	9	8			13	13		11	10	11		10	7	9	13		15		7		6	14		13
22		12	11		12	11	4	18			4	18			12	15	15	4	7	14		7	14			2	20	20	7		14	15		5		12	9	8			14	14		12	11	12		11	7	9	14		16		7		7	14		14
23		12	12		12	12	4	19			4	19			12	16	16	4	8	15		7	15			2	21	21	8		15	15		5		12	9	9			15	14		12	12	12		12	7	9	15		17		8		7	15		15
24		13	13		13	13	5	20			4	20			13	17	16	4	8	16		8	15			2	22	22	8		15	16		5		13	10	9			15	15		13	13	13		13	8	10	15		18		8		8	16		15
25		13	14		13	14	5	21			5	21			13	17	17	5	9	16		8	16			2	23	23	9		16	17		6		13	10	10			16	16		13	14	13		14	8	10	16		19		9		8	16		16
26		14	14		14	14	5	22			5	22			14	18	18	5	9	17		9	17			2	24	24	9		17	17		6		14	11	10			17	16		14	14	14		14	8	11	17		19		9		9	17		17
27		14	15		14	15	5	23			5	23			14	19	18	5	10	18		9	17			3	25	25	10		17	18		6		14	11	11			17	17		14	15	14		15	9	11	17		20		10		9	18		17
28		15	15		15	15	5	24			5	23			15	19	19	5	10	18		10	18			3	26	26	10		18	19		6		15	12	11			18	18		15	15	15		15	9	12	18		21		10		10	18		18
29		15	16		15	16	6	25			6	24			15	20	20	6	11	19		10	19			3	27	27	11		19	19		7		15	12	12			19	18		15	16	15		16	9	12	19		21		11		10	19		19
30		16	16		16	16	6	25			6	25			16	21	20	6	11	20		11	19			3	28	28	11		19	20		7		16	13	12			19	19		16	16	16		16	10	13	19		22		11		11	20		19
31		16	17		16	17	6	26			6	26			16	21	21	6	12	20		11	20			3	29	29	12		20	21		7		16	13	13			20	20		16	17	16		17	10	13	20		23		12		11	20		20
32		17	18		17	18	6	27			6	27			17	22	22	6	12	21		12	21			3	30	30	12		21	22		7		17	14	13			21	20		17	18	17		18	10	14	21		24		12		12	21		21
33		18	18		18	18	7	28			6	28			18	23	23	6	13	22		12	21			3	31	31	13		21	23		7		18	14	14			21	21		18	18	18		18	11	14	21		25		13		12	22		21
34		18	19		18	19	7	29			7	29			18	24	24	7	13	22		13	22			3	32	32	13		22	24		8		18	15	14			22	22		18	19	18		19	11	15	22		26		13		13	22		22
35		19	19		19	19	7	30			7	30			19	25	25	7	14	23		13	23			3	33	33	14		23	24		8		19	15	15			23	22		19	19	19		19	11	15	23		26		14		13	23		23
36		20	20		20	20	7	31			7	31			20	26	25	7	14	24		14	23			4	34	34	14		23	25		8		20	16	15			23	23		20	20	20		20	12	16	23		27		14		14	24		23
37		21	20		21	20	7	32			7	32			21	26	26	7	14	24		14	24			4	35	35	14		24	26		8		21	16	15			24	24		21	20	21		20	12	16	24		28		14		14	24		24
38		21	21		21	21	8	33			8	32			21	27	27	8	15	25		14	25			4	36	35	15		25	26		9		21	16	16			25	24		21	21	21		21	12	16	25		28		15		14	25		25
39		22	21		22	21	8	34			8	33			22	28	27	8	15	26		15	25			4	36	36	15		25	27		9		22	17	16			25	25		22	21	22		21	13	17	25		29		15		15	26		25
40		22	22		22	22	8	34			8	34			22	28	28	8	16	26		15	26			4	37	37	16		26	28		10		22	17	16			26	26		22	22	22		22	13	17	26		30		16		15	26		26
41		23	22		23	22	8	35			8	35			23	29	29	8	16	27		16	27			4	38	38	16		27	28		10		23	17	17			27	26		23	22	23		22	13	17	27		31		16		16	27		27
42		23	23		23	23	9	36			8	36			23	30	29	8	17	28		16	27			4	39	39	17		27	29		10		23	18	17			27	27		23	23	23		23	14	18	27		32		17		16	28		27
43		24	23		24	23	9	37			9	37			24	30	30	9	17	28		17	28			4	40	40	17		28	30		11		24	18	18			28	28		24	23	24		23	14	18	28		33		17		17	28		28
44		24	24		24	24	9	38			9	38			24	31	31	9	18	29		17	29			4	41	41	18		29	31		11		24	19	18			29	28		24	24	24		24	14	19	29		34		18		17	29		29
45		25	24		25	24	9	39			9	39			25	32	32	9	18	30		18	29			5	42	42	18		29	32		12		25	19	19			29	29		25	24	25		24	15	19	29		35		18		18	30		29
46		25	25		25	25	9	40			9	40			25	33	33	9	19	30		18	30			5	43	43	19		30	33		12		25	20	19			30	30		25	25	25		25	15	20	30		36		19		18	30		30
47		26	25		26	25	10	41			10	41			26	34	34	10	19	31		19	31			5	44	44	19		31	33		13		26	20	20			31	30		26	25	26		25	15	20	31		36		19		19	31		31
48		26	26		26	26	10	42			10	41			26	35	34	10	20	32		19	31			5	45	45	20		31	34		13		26	21	20			31	31		26	26	26		26	16	21	31		37		20		19	32		31
49		27	26		27	26	10	43			10	42			27	35	35	10	20	32		20	32			5	46	46	20		32	35		13		27	21	21			32	32		27	26	27		26	16	21	32		38		20		20	32		32
50		27	27		27	27	10	43			10	43			27	36	36	10	21	33		20	33			5	47	47	21		33	35		13		27	22	21			33	32		27	27	27		27	16	22	33		38		21		20	33		33
51		28	28		28	28	11	44			10	44			28	37	36	10	21	34		21	33			5	48	48	21		33	36		13		28	22	22			33	33		28	28	28		28	17	22	33		39		21		21	34		33
52		28	29		28	29	11	45			11	45			28	37	37	11	22	34		21	34			5	49	49	22		34	37		14		28	23	22			34	34		28	29	28		29	17	23	34		40		22		21	34		34
53		29	29		29	29	11	46			11	46			29	38	38	11	22	35		22	35			5	50	50	22		35	37		14		29	23	23			35	34		29	29	29		29	17	23	35		40		22		22	35		35
54		30	30		30	30	11	47			11	47			30	39	38	11	23	36		22	35			6	51	51	23		35	38		14		30	24	23			35	35		30	30	30		30	18	24	35		41		23		22	36		35
55		31	30		31	30	11	48			11	48			31	39	39	11	23	36		23	36			6	52	52	23		36	39		14		31	24	23			36	36		31	30	31		30	18	24	36		42		23		23	36		36
56		31	31		31	31	12	49			12	49			31	40	40	12	24	37		23	37			6	53	53	24		37	39		15		31	24	24			37	36		31	31	31		31	18	24	37		42		24		23	37		37
57		32	32		32	32	12	50			12	50			32	41	40	12	24	38		24	37			6	54	53	24		37	40		15		32	25	24			37	37		32	32	32		32	19	25	37		43		24		24	38		37
58		32	33		32	33	12	51			12	50			32	41	41	12	25	38		24	38			6	54	54	25		38	41		15		32	25	24			38	38		32	33	32		33	19	25	38		44		25		24	38		38
59		33	33		33	33	12	52			12	51			33	42	42	12	25	39		25	39			6	55	55	25		39	41		15		33	25	25			39	38		33	33	33		33	19	25	39		45		25		25	39		39
60		33	34		33	34	13	52			12	52			33	43	42	12	26	40		25	39			6	56	56	26		39	42		15		33	26	25			39	39		33	34	33		34	20	26	39		46		26		25	40		39
61		34	34		34	34	13	53			13	53			34	43	43	13	26	40		26	40			6	57	57	26		40	43		16		34	26	26			40	40		34	34	34		34	20	26	40		47		26		26	40		40
62		34	35		34	35	13	54			13	54			34	44	44	13	27	41		26	41			6	58	58	27		41	44		16		34	27	26			41	40		34	35	34		35	20	27	41		48		27		26	41		41
63		35	35		35	35	13	55			13	55			35	45	45	13	27	42		27	41			7	59	59	27		41	45		16		35	27	27			41	41		35	35	35		35	21	27	41		49		27		27	42		41
64		35	36		35	36	13	56			13	56			35	46	46	13	28	42		27	42			7	60	60	28		42	46		16		35	28	27			42	42		35	36	35		36	21	28	42		50		28		27	42		42
65		36	36		36	36	14	57			14	57			36	47	47	14	28	43		28	43			7	61	61	28		43	46		17		36	28	28			43	42		36	36	36		36	21	28	43		50		28		28	43		43
66		36	37		36	37	14	58			14	58			36	48	47	14	29	44		28	43			7	62	62	29		43	47		17		36	29	28			43	43		36	37	36		37	22	29	43		51		29		28	44		43
67		37	37		37	37	14	59			14	59			37	48	48	14	29	44		29	44			7	63	63	29		44	48		18		37	29	29			44	44		37	37	37		37	22	29	44		52		29		29	44		44
68		38	38		38	38	14	60			14	59			38	49	49	14	30	45		29	45			7	64	64	30		45	48		18		38	30	29			45	44		38	38	38		38	22	30	45		52		30		29	45		45
69		39	38		39	38	15	61			14	60			39	50	49	14	30	46		30	45			7	65	65	30		45	49		18		39	30	30			45	45		39	38	39		38	23	30	45		53		30		30	46		45
70		39	39		39	39	15	61			15	61			39	50	50	15	31	46		30	46			7	66	66	31		46	50		19		39	31	30			46	46		39	39	39		39	23	31	46		54		31		30	46		46
71		40	39		40	39	15	62			15	62			40	51	51	15	31	47		31	47			7	67	67	31		47	50		19		40	31	31			47	46		40	39	40		39	23	31	47		54		31		31	47		47
