jedi_trainer	junk_dealer	jedi_dark_master	jedi_dark_elder	jedi_dark	jedi_padawan
s	s	s	s	s	s
dressed_jedi_trainer_chiss_male_01.iff	junk_dealer_m_01.iff	dressed_dark_jedi_master_female_bith_01.iff	dressed_dark_jedi_elder_female_bothan_01.iff	dressed_dark_jedi_female_human_01.iff	dressed_dressed_padawan_female_human_01.iff
dressed_jedi_trainer_nikto_male_01.iff	junk_dealer_m_02.iff	dressed_dark_jedi_master_female_bothan_01.iff	dressed_dark_jedi_elder_female_bothan_02.iff	dressed_dark_jedi_female_human_02.iff	dressed_dressed_padawan_female_human_02.iff
dressed_jedi_trainer_twilek_female_01.iff	junk_dealer_m_03.iff	dressed_dark_jedi_master_female_chiss_01.iff	dressed_dark_jedi_elder_female_bothan_03.iff	dressed_dark_jedi_female_human_03.iff	dressed_padawan_female_bothan_01.iff
dressed_jedi_trainer_old_human_male_01.iff	junk_dealer_f_01.iff	dressed_dark_jedi_master_female_chiss_02.iff	dressed_dark_jedi_elder_female_human_01.iff	dressed_dark_jedi_female_human_04.iff	dressed_padawan_female_bothan_02.iff
	junk_dealer_f_02.iff	dressed_dark_jedi_master_female_twk_01.iff	dressed_dark_jedi_elder_female_human_02.iff	dressed_dark_jedi_female_marauder_01.iff	dressed_padawan_female_ith_01.iff
	junk_dealer_f_03.iff	dressed_dark_jedi_master_female_twk_02.iff	dressed_dark_jedi_elder_female_human_03.iff	dressed_dark_jedi_female_singingmtnclan_01.iff	dressed_padawan_female_ith_02.iff
		dressed_dark_jedi_master_female_zab_01.iff	dressed_dark_jedi_elder_female_rodian_01.iff	dressed_dark_jedi_female_singingmtnclan_02.iff	dressed_padawan_female_trn_01.iff
		dressed_dark_jedi_master_female_zab_02.iff	dressed_dark_jedi_elder_female_rodian_02.iff	dressed_dark_jedi_female_twk_01.iff	dressed_padawan_female_trn_02.iff
		dressed_dark_jedi_master_male_arcona_01.iff	dressed_dark_jedi_elder_female_rodian_03.iff	dressed_dark_jedi_female_twk_02.iff	dressed_padawan_female_wke_01.iff
		dressed_dark_jedi_master_male_gotal_01.iff	dressed_dark_jedi_elder_female_rodian_04.iff	dressed_dark_jedi_female_twk_03.iff	dressed_padawan_female_wke_02.iff
		dressed_dark_jedi_master_male_human_01.iff	dressed_dark_jedi_elder_female_rodian_05.iff	dressed_dark_jedi_female_zab_01.iff	dressed_padawan_female_wke_03.iff
		dressed_dark_jedi_master_male_human_02.iff	dressed_dark_jedi_elder_male_bothan_01.iff	dressed_dark_jedi_female_zab_02.iff	dressed_padawan_female_wke_04.iff
		dressed_dark_jedi_master_male_human_03.iff	dressed_dark_jedi_elder_male_bothan_02.iff	dressed_dark_jedi_female_zab_03.iff	dressed_padawan_male_bothan_01.iff
		dressed_dark_jedi_master_male_human_04.iff	dressed_dark_jedi_elder_male_bothan_03.iff	dressed_dark_jedi_male_human_01.iff	dressed_padawan_male_bothan_02.iff
		dressed_dark_jedi_master_male_human_05.iff	dressed_dark_jedi_elder_male_devorian_01.iff	dressed_dark_jedi_male_human_02.iff	dressed_padawan_male_human_01.iff
		dressed_dark_jedi_master_male_human_06.iff	dressed_dark_jedi_elder_male_devorian_02.iff	dressed_dark_jedi_male_human_03.iff	dressed_padawan_male_human_02.iff
		dressed_dark_jedi_master_male_sul_01.iff	dressed_dark_jedi_elder_male_gran_01.iff	dressed_dark_jedi_male_human_04.iff	dressed_padawan_male_ith_01.iff
		dressed_dark_jedi_master_male_twk_01.iff	dressed_dark_jedi_elder_male_human_01.iff	dressed_dark_jedi_male_human_05.iff	dressed_padawan_male_ith_02.iff
		dressed_dark_jedi_master_male_twk_02.iff	dressed_dark_jedi_elder_male_human_02.iff	dressed_dark_jedi_male_human_06.iff	dressed_padawan_male_sul_01.iff
		dressed_dark_jedi_master_male_twk_03.iff	dressed_dark_jedi_elder_male_human_03.iff	dressed_dark_jedi_male_marauder_01.iff	dressed_padawan_male_sul_02.iff
		dressed_dark_jedi_master_male_twk_04.iff	dressed_dark_jedi_elder_male_human_04.iff	dressed_dark_jedi_male_twk_01.iff	dressed_padawan_male_trn_01.iff
		dressed_dark_jedi_master_male_weequay_01.iff	dressed_dark_jedi_elder_male_rodian_01.iff	dressed_dark_jedi_male_twk_02.iff	dressed_padawan_wke_01.iff
		dressed_dark_jedi_master_male_zab_01.iff	dressed_dark_jedi_elder_male_rodian_02.iff	dressed_dark_jedi_male_twk_03.iff	dressed_padawan_wke_02.iff
		dressed_dark_jedi_master_male_zab_02.iff	dressed_dark_jedi_elder_male_rodian_03.iff	dressed_dark_jedi_male_zab_01.iff	dressed_padawan_wke_03.iff
				dressed_dark_jedi_male_zab_02.iff	
				dressed_dark_jedi_male_zab_03.iff	
