Boots	Bodysuit	weapons
s	s	s
object/tangible/wearables/boots/boots_s03.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/carbine/carbine_dxr6.iff
object/tangible/wearables/boots/boots_s04.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/carbine/carbine_ee3.iff
object/tangible/wearables/boots/boots_s05.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/boots/boots_s12.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/carbine/carbine_laser.iff
object/tangible/wearables/boots/boots_s15.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/pistol/pistol_cdef.iff
object/tangible/wearables/boots/boots_s19.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/pistol/pistol_d18.iff
object/tangible/wearables/boots/boots_s21.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/pistol/pistol_fwg5.iff
object/tangible/wearables/boots/boots_s22.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/pistol/pistol_striker.iff
object/tangible/wearables/boots/boots_s03.iff	object/tangible/wearables/bodysuit/bodysuit_bwing.iff	object/weapon/ranged/pistol/pistol_scout_blaster.iff
