dark_jedi	dathomir_prisoner	death_watch_battle_droid	death_watch_s_battle_droid	death_watch_miner	droid_ig106_enemy
s	s	s	s	s	s
dressed_dark_side_savage.iff	dressed_dathomir_prisoner_01.iff	death_watch_battle_droid.iff	death_watch_s_battle_droid.iff	dressed_mand_bunker_miner_aqualish.iff	dressed_droid_enemy_01.iff
dressed_forsaken_force_drifter.iff	dressed_dathomir_prisoner_02.iff	death_watch_battle_droid_02.iff	death_watch_s_battle_droid_02.iff	dressed_mand_bunker_miner_bith.iff	dressed_droid_enemy_02.iff
dressed_force_trained_archaist.iff	dressed_dathomir_prisoner_03.iff	death_watch_battle_droid_03.iff	death_watch_s_battle_droid_03.iff	dressed_mand_bunker_miner_hum_01.iff	dressed_droid_enemy_03.iff
dressed_force_sensitive_crypt_crawler.iff	dressed_dathomir_prisoner_04.iff			dressed_mand_bunker_miner_hum_02.iff	dressed_droid_enemy_04.iff
dressed_dark_jedi_human_female_01.iff	dressed_dathomir_prisoner_05.iff			dressed_mand_bunker_miner_hum_03.iff	dressed_droid_enemy_05.iff
dressed_dark_jedi_human_male_01.iff					dressed_droid_enemy_06.iff
					dressed_droid_enemy_07.iff
					dressed_droid_enemy_08.iff
					dressed_droid_enemy_09.iff
					dressed_droid_enemy_10.iff
