key	level	minscale	maxscale	mindrainmodifier	maxdrainmodifier	minfaucetmodifier	maxfaucetmodifier	minhealth	maxhealth	minstrength	maxstrength	minconstitution	maxconstitution	minaction	maxaction	minquickness	maxquickness	minstamina	maxstamina	minmind	maxmind	minfocus	maxfocus	minwillpower	maxwillpower	defaultweapon	attackspeed	xp	scripts	objvars	faction	fleepercent	clothes	equipment	mindamage	maxdamage	tohitchance	species	utterance
s	i	f	f	f	f	f	f	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	s	f	i	s	s	s	i	s	s	i	i	f	s	s
Artisan	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	rich_standard.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Businessman	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	rich_no_jacket.iff		10	20	0.25	species_choices_all.iff	business.stf
Commoner	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	poor_standard.iff		10	20	0.25	species_choices_all.iff	common.stf
Criminal	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	mercenary_standard.iff		10	20	0.25	species_choices_all.iff	thug.stf
Entertainer	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Farmer	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Info broker	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Scientist	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Slave	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Slicer	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_easy.iff		10	20	0.25	species_choices_all.iff	business.stf
Spacer	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Thug	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Wastrel	1	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Brawler	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	poor_standard.iff		10	20	0.25	species_choices_all.iff	business.stf
Network Leader	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Outlaw	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Roughneck	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_easy.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Scoundrel	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	pirate_easy.iff		10	20	0.25	species_choices_all.iff	business.stf
Technician	2	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Bothan diplomat	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	thug.stf
Bothan information broker	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Noble	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Noble	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Noble	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
Specialist noncom	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	business.stf
Area Coordinator	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_poor.iff		10	20	0.25	species_choices_all.iff	common.stf
Bodyguard	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	hutt_weak.iff		10	20	0.25	species_choices_all.iff	thug.stf
Explorer	3	0.9	1.1	0.003	1.2	0.0008	1	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	10	50	unarmed	0.5	10	"script, script, script"	"objvar, objvar"	townperson	0	townperson_rich.iff		10	20	0.25	species_choices_all.iff	artisan.stf
