male_aqualish_thug	male_bothan_commoner	male_criminal_thug	male_human_scientist	male_moncal_scientist	male_rodian_commoner	male_rodian_thug	male_scientist	male_twilek_thug	male_zabrak_thug	marooned_pirate	marooned_pirate_captain	marooned_pirate_engr	medic_hutt	medic_imperial	medic_rebel	mercenary_commander	mercenary_elite	mercenary_strong	mercenary_weak	meatlump_thug	meatlump_hideout_thug	meatlump_hideout_thug_male	meatlump_lieutenant	meatlump_captain	meatlump_decider	mauler_low	mauler_medium	mauler_high
s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s
dressed_criminal_thug_aqualish_male_01.iff	dressed_commoner_naboo_bothan_male_01.iff	dressed_criminal_thug_aqualish_male_01.iff	dressed_mercenary_elite_medic_human_male_01.iff	dressed_doctor_trainer_moncal_male_01.iff	dressed_commoner_tatooine_rodian_male_01.iff	dressed_kobola_thief_rodian_male_01.iff	dressed_doctor_trainer_moncal_male_01.iff	dressed_commoner_naboo_twilek_male_02.iff	dressed_binayre_pirate_zabrak_male_01.iff	dressed_marooned_pirate_bith_m.iff	dressed_marooned_pirate_captain_hum_m.iff	dressed_marooned_pirate_engr1_bith_m.iff	dressed_hutt_medic1_zabrak_female_01.iff	dressed_imperial_medic1_human_male_01.iff	dressed_rebel_medic1_bothan_male_01.iff	dressed_mercenary_commander_hum_m.iff	dressed_mercenary_elite_hum_f.iff	dressed_mercenary_strong_hum_f.iff	dressed_mercenary_weak_hum_f.iff	dressed_meatlump_female_01.iff	dressed_meatlump_hideout_female_01.iff	dressed_meatlump_hideout_male_01.iff	dressed_meatlump_lieutenant_01.iff	dressed_meatlump_captain_01.iff	dressed_meatlump_decider_01.iff	dressed_mauler_acolyte.iff	dressed_mauler_guard.iff	dressed_mauler_master.iff
dressed_criminal_thug_aqualish_male_02.iff	dressed_commoner_naboo_bothan_male_02.iff	dressed_criminal_thug_aqualish_male_02.iff	dressed_combatmedic_trainer_human_male_01.iff	dressed_doctor_trainer_moncal_male_01.iff	dressed_commoner_tatooine_rodian_male_02.iff	dressed_spice_collective_courier_rodian_male_01.iff	dressed_combatmedic_trainer_human_male_01.iff	dressed_commoner_naboo_twilek_male_01.iff	dressed_garyn_marauder_zabrak_male_01.iff	dressed_marooned_pirate_hum_f.iff	dressed_marooned_pirate_captain_nikto_m.iff	dressed_marooned_pirate_engr1_hum_f.iff	dressed_hutt_medic2_twilek_male_01.iff	dressed_imperial_medic3_human_male_01.iff	dressed_rebel_medic3_moncal_female_01.iff	dressed_mercenary_commander_nikto_m.iff	dressed_mercenary_elite_hum_m.iff	dressed_mercenary_strong_hum_m.iff	dressed_mercenary_weak_hum_m.iff	dressed_meatlump_female_02.iff	dressed_meatlump_hideout_female_02.iff	dressed_meatlump_hideout_male_02.iff	dressed_meatlump_lieutenant_02.iff	dressed_meatlump_captain_02.iff	dressed_meatlump_decider_02.iff	dressed_mauler_apprentice.iff	npc_dressed_mauler_lieutenant.iff	dressed_mauler_lord.iff
		dressed_criminal_thug_bothan_male_01.iff			dressed_commoner_tatooine_rodian_male_03.iff	dressed_binayre_bruiser_rodian_male_01.iff	dressed_imperial_medic1_human_male_01.iff	dressed_criminal_organized_twilek_male_01.iff	dressed_garyn_pirate_zabrak_male_01.iff	dressed_marooned_pirate_hum_m.iff	dressed_marooned_pirate_captain_tran_m.iff	dressed_marooned_pirate_engr1_hum_m.iff	dressed_mercenary_elite_medic_human_male_01.iff			dressed_mercenary_commander_zab_m.iff	dressed_mercenary_elite_nikto_m.iff	dressed_mercenary_strong_rod_m.iff	dressed_mercenary_weak_rod_m.iff	dressed_meatlump_female_03.iff	dressed_meatlump_hideout_female_03.iff	dressed_meatlump_hideout_male_03.iff	dressed_meatlump_lieutenant_03.iff	dressed_meatlump_captain_03.iff	dressed_meatlump_decider_03.iff	dressed_mauler_initiate.iff	dressed_mauler.iff	npc_dressed_mauler_master_f_zab.iff
		dressed_criminal_thug_human_male_01.iff			dressed_commoner_tatooine_rodian_male_04.iff	dressed_aakuan_sentinal_rodian_male_01.iff	dressed_imperial_medic3_human_male_01.iff		dressed_garyn_theif_zabrak_male_01.iff	dressed_marooned_pirate_nikto_m.iff		dressed_marooned_pirate_engr1_sull_m.iff	dressed_mercenary_medic_rodian_female_01.iff			dressed_mercenary_warlord_hum_m.iff	dressed_mercenary_elite_rod_m.iff	dressed_mercenary_strong_tran_m.iff	dressed_mercenary_messanger_hum_f.iff	dressed_meatlump_female_04.iff	dressed_meatlump_hideout_female_04.iff	dressed_meatlump_hideout_male_04.iff	dressed_meatlump_lieutenant_04.iff	dressed_meatlump_captain_04.iff			dressed_mauler_2.iff	npc_dressed_mauler_master_m_zab.iff
		dressed_criminal_thug_human_male_02.iff				dressed_cobral_thug_rodian_male_01.iff			dressed_kobola_assassin_zabrak_male_01.iff	dressed_marooned_pirate_rod_f.iff		dressed_marooned_pirate_engr_bith_m.iff				dressed_mercenary_warlord_nikto_m.iff	dressed_mercenary_destroyer_hum_f.iff		dressed_mercenary_messanger_hum_m.iff	dressed_meatlump_female_05.iff	dressed_meatlump_hideout_female_05.iff	dressed_meatlump_hideout_male_05.iff	dressed_meatlump_lieutenant_05.iff	dressed_meatlump_captain_05.iff				
		dressed_criminal_thug_rodian_male_01.iff				dressed_criminal_thug_rodian_male_01.iff			dressed_spice_collective_eliteguard_zabrak_male_01.iff	dressed_marooned_pirate_rod_m.iff		dressed_marooned_pirate_engr_hum_f.iff					dressed_mercenary_destroyer_hum_m.iff		dressed_mercenary_messanger_rod_m.iff	dressed_meatlump_female_06.iff	dressed_meatlump_hideout_female_06.iff	dressed_meatlump_hideout_male_05.iff						
		dressed_criminal_thug_trandoshan_male_01.iff				dressed_hooligan_rodian_male_01.iff			dressed_spice_collective_heavyguard_zabrak_male_01.iff	dressed_marooned_pirate_tran_m.iff		dressed_marooned_pirate_engr_hum_m.iff					dressed_mercenary_destroyer_nikto_m.iff		dressed_mercenary_messanger_sullustan_m.iff	dressed_meatlump_female_07.iff	dressed_meatlump_hideout_female_07.iff	dressed_meatlump_hideout_male_07.iff						
		dressed_criminal_thug_zabrak_male_01.iff				dressed_commoner_tatooine_rodian_female_02.iff			dressed_binayre_hoodlum_zabrak_male_01.iff	dressed_marooned_pirate_first_mate_hum_f.iff		dressed_marooned_pirate_engr_sull_m.iff								dressed_meatlump_male_01.iff	dressed_meatlump_hideout_male_01.iff	dressed_meatlump_hideout_male_08.iff						
		dressed_crook_zabrak_male_01.iff							dressed_criminal_swooper_zabrak_male_01.iff	dressed_marooned_pirate_first_mate_hum_m.iff										dressed_meatlump_male_02.iff	dressed_meatlump_hideout_male_02.iff	dressed_meatlump_hideout_male_09.iff						
