Shoes	Pants	Shirts	weapons
s	s	s	s
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s01.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/weapon/ranged/carbine/carbine_dxr6.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s04.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/weapon/ranged/carbine/carbine_ee3.iff
object/tangible/wearables/shoes/shoes_s03.iff	object/tangible/wearables/pants/pants_s05.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s06.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/weapon/ranged/carbine/carbine_laser.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s07.iff	object/tangible/wearables/shirt/shirt_s15.iff	object/weapon/ranged/pistol/pistol_cdef.iff
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s08.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/weapon/ranged/pistol/pistol_d18.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s09.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/weapon/ranged/pistol/pistol_fwg5.iff
object/tangible/wearables/shoes/shoes_s03.iff	object/tangible/wearables/pants/pants_s10.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/weapon/ranged/pistol/pistol_striker.iff
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s13.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/weapon/ranged/pistol/pistol_scout_blaster.iff
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s14.iff	object/tangible/wearables/shirt/shirt_s15.iff	
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s21.iff	object/tangible/wearables/shirt/shirt_s05.iff	
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s25.iff	object/tangible/wearables/shirt/shirt_s07.iff	
object/tangible/wearables/shoes/shoes_s03.iff	object/tangible/wearables/pants/pants_s28.iff	object/tangible/wearables/shirt/shirt_s09.iff	
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s29.iff	object/tangible/wearables/shirt/shirt_s10.iff	
object/tangible/wearables/shoes/shoes_s02.iff	object/tangible/wearables/pants/pants_s30.iff	object/tangible/wearables/shirt/shirt_s15.iff
object/tangible/wearables/shoes/shoes_s01.iff	object/tangible/wearables/pants/pants_s31.iff	object/tangible/wearables/shirt/shirt_s05.iff
