Boots	Pants	Shirt	Vest	Weapon
s	s	s	s	s
object/tangible/wearables/boots/boots_s03.iff	object/tangible/wearables/pants/pants_s01.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/boots/boots_s04.iff	object/tangible/wearables/pants/pants_s04.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/tangible/wearables/vest/vest_hutt_gang_s02.iff	object/weapon/ranged/pistol/pistol_dh17.iff
object/tangible/wearables/boots/boots_s05.iff	object/tangible/wearables/pants/pants_s05.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/tangible/wearables/vest/vest_hutt_gang_s03.iff	object/weapon/ranged/pistol/pistol_dl44.iff
object/tangible/wearables/boots/boots_s12.iff	object/tangible/wearables/pants/pants_s06.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/pistol/pistol_fwg5.iff
object/tangible/wearables/boots/boots_s15.iff	object/tangible/wearables/pants/pants_s07.iff	object/tangible/wearables/shirt/shirt_s15.iff	object/tangible/wearables/vest/vest_hutt_gang_s02.iff	object/weapon/ranged/pistol/pistol_power5.iff
object/tangible/wearables/boots/boots_s19.iff	object/tangible/wearables/pants/pants_s08.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/tangible/wearables/vest/vest_hutt_gang_s03.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff
object/tangible/wearables/boots/boots_s21.iff	object/tangible/wearables/pants/pants_s09.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/boots/boots_s22.iff	object/tangible/wearables/pants/pants_s10.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/tangible/wearables/vest/vest_hutt_gang_s02.iff	object/weapon/ranged/pistol/pistol_dh17.iff
object/tangible/wearables/boots/boots_s03.iff	object/tangible/wearables/pants/pants_s13.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/tangible/wearables/vest/vest_hutt_gang_s03.iff	object/weapon/ranged/pistol/pistol_dl44.iff
object/tangible/wearables/boots/boots_s03.iff	object/tangible/wearables/pants/pants_s14.iff	object/tangible/wearables/shirt/shirt_s15.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/pistol/pistol_fwg5.iff
object/tangible/wearables/boots/boots_s04.iff	object/tangible/wearables/pants/pants_s21.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/tangible/wearables/vest/vest_hutt_gang_s02.iff	object/weapon/ranged/pistol/pistol_power5.iff
object/tangible/wearables/boots/boots_s05.iff	object/tangible/wearables/pants/pants_s25.iff	object/tangible/wearables/shirt/shirt_s07.iff	object/tangible/wearables/vest/vest_hutt_gang_s03.iff	object/weapon/ranged/rifle/rifle_dlt20a.iff
object/tangible/wearables/boots/boots_s12.iff	object/tangible/wearables/pants/pants_s28.iff	object/tangible/wearables/shirt/shirt_s09.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/carbine/carbine_elite.iff
object/tangible/wearables/boots/boots_s15.iff	object/tangible/wearables/pants/pants_s29.iff	object/tangible/wearables/shirt/shirt_s10.iff	object/tangible/wearables/vest/vest_hutt_gang_s02.iff	object/weapon/ranged/pistol/pistol_dh17.iff
object/tangible/wearables/boots/boots_s19.iff	object/tangible/wearables/pants/pants_s30.iff	object/tangible/wearables/shirt/shirt_s15.iff	object/tangible/wearables/vest/vest_hutt_gang_s03.iff	object/weapon/ranged/pistol/pistol_dl44.iff
object/tangible/wearables/boots/boots_s21.iff	object/tangible/wearables/pants/pants_s31.iff	object/tangible/wearables/shirt/shirt_s05.iff	object/tangible/wearables/vest/vest_hutt_gang_s01.iff	object/weapon/ranged/pistol/pistol_fwg5.iff
